current_path,proposed_path,experiment_id,category,action,reason,keep_original_reference
.gitignore,.gitignore,,CONFIG,KEEP,"Protege datos, artifacts pesados y credenciales",true
data/original/Smartphone_Usage_And_Addiction_Analysis_7500_Rows.csv,data/original/Smartphone_Usage_And_Addiction_Analysis_7500_Rows.csv,,DATA,IGNORE_FROM_GIT,Datos de competencia o externos; no se publican,true
data/sample_submission.csv,data/sample_submission.csv,,DATA,IGNORE_FROM_GIT,Datos de competencia o externos; no se publican,true
data/test.csv,data/test.csv,,DATA,IGNORE_FROM_GIT,Datos de competencia o externos; no se publican,true
data/train.csv,data/train.csv,,DATA,IGNORE_FROM_GIT,Datos de competencia o externos; no se publican,true
docs/bitacora_competencia.md,docs/bitacora_competencia.md,EXP-001;EXP-041B,DOC_PUBLIC,KEEP,Futura narrativa pública de la competencia,true
docs/plan_repositorio.md,docs/internal/plan_repositorio.md,,DOC_INTERNAL,MOVE,"Plan de trabajo interno, no parte de la narrativa pública",true
docs/PRESERVATION_REPORT.md,docs/internal/informe_preservacion.md,,DOC_INTERNAL,ARCHIVE,Documento de control interno; conservar contenido y trazabilidad,true
docs/PROJECT_AUDIT.md,docs/internal/auditoria_repositorio.md,,DOC_INTERNAL,ARCHIVE,Documento de control interno; conservar contenido y trazabilidad,true
docs/PUBLICATION_SAFETY.md,docs/internal/seguridad_publicacion.md,,DOC_INTERNAL,ARCHIVE,Documento de control interno; conservar contenido y trazabilidad,true
notebooks/exp041_realmlp_kaggle.ipynb,notebooks/realmlp_kaggle.ipynb,EXP-041,NOTEBOOK,RENAME,Nombre legible; conservar EXP-041 en metadata y bitácora,true
outputs/manifests/absolute_paths_report.csv,outputs/manifests/absolute_paths_report.csv,,MANIFEST,KEEP,Control de preservación y reorganización,true
outputs/manifests/critical_artifacts_sha256.txt,outputs/manifests/critical_artifacts_sha256.txt,,MANIFEST,KEEP,Control de preservación y reorganización,true
outputs/manifests/dependency_inventory.csv,outputs/manifests/dependency_inventory.csv,,MANIFEST,KEEP,Control de preservación y reorganización,true
outputs/manifests/heavy_artifacts.csv,outputs/manifests/heavy_artifacts.csv,,MANIFEST,KEEP,Control de preservación y reorganización,true
outputs/manifests/reorganization_plan.csv,outputs/manifests/reorganization_plan.csv,,MANIFEST,KEEP,Control de preservación y reorganización,true
outputs/manifests/repository_snapshot.csv,outputs/manifests/repository_snapshot.csv,,MANIFEST,KEEP,Control de preservación y reorganización,true
outputs/metrics/catboost_convergence_diagnostic.txt,outputs/reports/experiments/catboost_convergence_diagnostic.txt,,REPORT,MOVE,Reporte textual de experimento; conservar nombre EXP para trazabilidad,true
outputs/metrics/depth5_regularization_diagnostic.txt,outputs/reports/experiments/depth5_regularization_diagnostic.txt,,REPORT,MOVE,Reporte textual de experimento; conservar nombre EXP para trazabilidad,true
outputs/metrics/exp001_logistic_metrics.txt,outputs/reports/experiments/exp001_logistic_metrics.txt,EXP-001,REPORT,MOVE,Reporte textual de experimento; conservar nombre EXP para trazabilidad,true
outputs/metrics/exp001_logistic_oof.csv,outputs/metrics/exp001_logistic_oof.csv,EXP-001,ARTIFACT,IGNORE_FROM_GIT,OOF histórico pesado ubicado en metrics,true
outputs/metrics/exp002_catboost_metrics.txt,outputs/reports/experiments/exp002_catboost_metrics.txt,EXP-002,REPORT,MOVE,Reporte textual de experimento; conservar nombre EXP para trazabilidad,true
outputs/metrics/exp002_catboost_oof.csv,outputs/metrics/exp002_catboost_oof.csv,EXP-002,ARTIFACT,IGNORE_FROM_GIT,OOF histórico pesado ubicado en metrics,true
outputs/metrics/exp003_catboost_metrics.txt,outputs/reports/experiments/exp003_catboost_metrics.txt,EXP-003,REPORT,MOVE,Reporte textual de experimento; conservar nombre EXP para trazabilidad,true
outputs/metrics/exp003_catboost_oof.csv,outputs/metrics/exp003_catboost_oof.csv,EXP-003,ARTIFACT,IGNORE_FROM_GIT,OOF histórico pesado ubicado en metrics,true
outputs/metrics/exp004_lightgbm_metrics.txt,outputs/reports/experiments/exp004_lightgbm_metrics.txt,EXP-004,REPORT,MOVE,Reporte textual de experimento; conservar nombre EXP para trazabilidad,true
outputs/metrics/exp005_blend_metrics.txt,outputs/reports/experiments/exp005_blend_metrics.txt,EXP-005,REPORT,MOVE,Reporte textual de experimento; conservar nombre EXP para trazabilidad,true
outputs/metrics/exp006_lightgbm_features_metrics.txt,outputs/reports/experiments/exp006_lightgbm_features_metrics.txt,EXP-006,REPORT,MOVE,Reporte textual de experimento; conservar nombre EXP para trazabilidad,true
outputs/metrics/exp007_ensemble_metrics.txt,outputs/reports/experiments/exp007_ensemble_metrics.txt,EXP-007,REPORT,MOVE,Reporte textual de experimento; conservar nombre EXP para trazabilidad,true
outputs/metrics/exp008_xgboost_metrics.txt,outputs/reports/experiments/exp008_xgboost_metrics.txt,EXP-008,REPORT,MOVE,Reporte textual de experimento; conservar nombre EXP para trazabilidad,true
outputs/metrics/exp009_ensemble_metrics.txt,outputs/reports/experiments/exp009_ensemble_metrics.txt,EXP-009,REPORT,MOVE,Reporte textual de experimento; conservar nombre EXP para trazabilidad,true
outputs/metrics/exp010_xgboost_features_metrics.txt,outputs/reports/experiments/exp010_xgboost_features_metrics.txt,EXP-010,REPORT,MOVE,Reporte textual de experimento; conservar nombre EXP para trazabilidad,true
outputs/metrics/exp011_ensemble_metrics.txt,outputs/reports/experiments/exp011_ensemble_metrics.txt,EXP-011,REPORT,MOVE,Reporte textual de experimento; conservar nombre EXP para trazabilidad,true
outputs/metrics/exp012_xgboost_thresholds_metrics.txt,outputs/reports/experiments/exp012_xgboost_thresholds_metrics.txt,EXP-012,REPORT,MOVE,Reporte textual de experimento; conservar nombre EXP para trazabilidad,true
outputs/metrics/exp013_ensemble_metrics.txt,outputs/reports/experiments/exp013_ensemble_metrics.txt,EXP-013,REPORT,MOVE,Reporte textual de experimento; conservar nombre EXP para trazabilidad,true
outputs/metrics/exp014_xgboost_ambiguous_metrics.txt,outputs/reports/experiments/exp014_xgboost_ambiguous_metrics.txt,EXP-014,REPORT,MOVE,Reporte textual de experimento; conservar nombre EXP para trazabilidad,true
outputs/metrics/exp015_xgboost_depth5_metrics.txt,outputs/reports/experiments/exp015_xgboost_depth5_metrics.txt,EXP-015,REPORT,MOVE,Reporte textual de experimento; conservar nombre EXP para trazabilidad,true
outputs/metrics/exp016_xgboost_depth5_9000_metrics.txt,outputs/reports/experiments/exp016_xgboost_depth5_9000_metrics.txt,EXP-016,REPORT,MOVE,Reporte textual de experimento; conservar nombre EXP para trazabilidad,true
outputs/metrics/exp017_ensemble_metrics.txt,outputs/reports/experiments/exp017_ensemble_metrics.txt,EXP-017,REPORT,MOVE,Reporte textual de experimento; conservar nombre EXP para trazabilidad,true
outputs/metrics/exp018_xgboost_nested_negative_metrics.txt,outputs/reports/experiments/exp018_xgboost_nested_negative_metrics.txt,EXP-018,REPORT,MOVE,Reporte textual de experimento; conservar nombre EXP para trazabilidad,true
outputs/metrics/exp019_lightgbm_thresholds_metrics.txt,outputs/reports/experiments/exp019_lightgbm_thresholds_metrics.txt,EXP-019,REPORT,MOVE,Reporte textual de experimento; conservar nombre EXP para trazabilidad,true
outputs/metrics/exp020_catboost_thresholds_metrics.txt,outputs/reports/experiments/exp020_catboost_thresholds_metrics.txt,EXP-020,REPORT,MOVE,Reporte textual de experimento; conservar nombre EXP para trazabilidad,true
outputs/metrics/exp021_ensemble_metrics.txt,outputs/reports/experiments/exp021_ensemble_metrics.txt,EXP-021,REPORT,MOVE,Reporte textual de experimento; conservar nombre EXP para trazabilidad,true
outputs/metrics/exp022_catboost_thresholds_9000_metrics.txt,outputs/reports/experiments/exp022_catboost_thresholds_9000_metrics.txt,EXP-022,REPORT,MOVE,Reporte textual de experimento; conservar nombre EXP para trazabilidad,true
