config_id,min_child_weight,reg_lambda,fold1_auc,fold2_auc,fold3_auc,mean_auc,std_auc,delta_vs_baseline,best_iter_fold1,best_iter_fold2,best_iter_fold3,training_seconds
R1,3,1,0.965060712098212,0.9656722594089092,0.9658861039226747,0.965539691809932,0.00034976043438942825,1.6877638715384613e-05,7886,7884,8628,1838.4304764999542
R2,5,1,0.9649907860905454,0.9656478581808356,0.9658817542808436,0.9655067995174083,0.0003771641896457645,-1.6014653808404944e-05,7907,7573,8069,1798.323367199977
R3,10,1,0.9650881847288104,0.965627598544528,0.9659464669851864,0.9655540834195082,0.0003542272934218471,3.126924829155442e-05,7897,7336,8107,1797.3750640000217
R4,1,3,0.9650329726814622,0.9656077339496253,0.9658696580724192,0.9655034549011688,0.0003494435584568393,-1.9359270047814015e-05,7894,8198,8019,1764.3489375001518
R5,1,5,0.965017944362569,0.9655873834817033,0.9659160229175825,0.9655071169206183,0.00037100612157130105,-1.5697250598356582e-05,7759,7920,8075,1725.2204033000162
R6,1,10,0.9649849868218234,0.9656067117133879,0.9659391462869292,0.9655102816073802,0.0003954568204167892,-1.2532563836487043e-05,7907,7954,8074,1752.6893192001153
R7,3,5,0.9650661548909066,0.9656342383862594,0.9658773532607947,0.9655259155126537,0.0003399128148382896,3.101341436995142e-06,8541,7436,7580,1836.3785833000438
R8,5,5,0.9650638228272738,0.9656224491785417,0.9658944115901464,0.9655268945319873,0.0003457527450950942,4.08036077059748e-06,7885,7438,8239,1832.9774843999185
R9,5,10,0.9649869728119325,0.9656290156953109,0.9658917840700484,0.9655025908590972,0.00038005112165958747,-2.0223312119482806e-05,7904,8859,8268,1962.3942451999756
R10,10,5,0.9650073778295667,0.9656566333266564,0.9658948758970003,0.9655196290177411,0.0003750474107101739,-3.1851534755267252e-06,8304,8790,8661,2092.69266229996
