variant,feature,position,rows_checked,values_match,missing_token_match,dtype_match,index_match,order_match,original_cardinality,new_cardinality,status
A,age,0,12000,True,True,True,True,True,19,19,PASS
A,gender,1,12000,True,True,True,True,True,4,4,PASS
A,daily_screen_time_hours,2,12000,True,True,True,True,True,1059,1059,PASS
A,social_media_hours,3,12000,True,True,True,True,True,614,614,PASS
A,gaming_hours,4,12000,True,True,True,True,True,399,399,PASS
A,notifications_per_day,5,12000,True,True,True,True,True,232,232,PASS
A,app_opens_per_day,6,12000,True,True,True,True,True,167,167,PASS
A,sleep_hours,7,12000,True,True,True,True,True,450,450,PASS
A,work_study_hours,8,12000,True,True,True,True,True,577,577,PASS
A,weekend_screen_time,9,12000,True,True,True,True,True,1126,1126,PASS
A,stress_level,10,12000,True,True,True,True,True,4,4,PASS
A,academic_work_impact,11,12000,True,True,True,True,True,3,3,PASS
A,screen_social_exact,12,12000,True,True,True,True,True,9541,9541,PASS
B,age,0,12000,True,True,True,True,True,19,19,PASS
B,gender,1,12000,True,True,True,True,True,4,4,PASS
B,daily_screen_time_hours,2,12000,True,True,True,True,True,1059,1059,PASS
B,social_media_hours,3,12000,True,True,True,True,True,614,614,PASS
B,gaming_hours,4,12000,True,True,True,True,True,399,399,PASS
B,notifications_per_day,5,12000,True,True,True,True,True,232,232,PASS
B,app_opens_per_day,6,12000,True,True,True,True,True,167,167,PASS
B,sleep_hours,7,12000,True,True,True,True,True,450,450,PASS
B,work_study_hours,8,12000,True,True,True,True,True,577,577,PASS
B,weekend_screen_time,9,12000,True,True,True,True,True,1126,1126,PASS
B,stress_level,10,12000,True,True,True,True,True,4,4,PASS
B,academic_work_impact,11,12000,True,True,True,True,True,3,3,PASS
B,screen_social_exact,12,12000,True,True,True,True,True,9541,9541,PASS
B,screen_weekend_01,13,12000,True,True,True,True,True,4762,4762,PASS
B,social_weekend_01,14,12000,True,True,True,True,True,4077,4077,PASS
C,age,0,12000,True,True,True,True,True,19,19,PASS
C,gender,1,12000,True,True,True,True,True,4,4,PASS
C,daily_screen_time_hours,2,12000,True,True,True,True,True,1059,1059,PASS
C,social_media_hours,3,12000,True,True,True,True,True,614,614,PASS
C,gaming_hours,4,12000,True,True,True,True,True,399,399,PASS
C,notifications_per_day,5,12000,True,True,True,True,True,232,232,PASS
C,app_opens_per_day,6,12000,True,True,True,True,True,167,167,PASS
C,sleep_hours,7,12000,True,True,True,True,True,450,450,PASS
C,work_study_hours,8,12000,True,True,True,True,True,577,577,PASS
C,weekend_screen_time,9,12000,True,True,True,True,True,1126,1126,PASS
C,stress_level,10,12000,True,True,True,True,True,4,4,PASS
C,academic_work_impact,11,12000,True,True,True,True,True,3,3,PASS
C,screen_social_exact,12,12000,True,True,True,True,True,9541,9541,PASS
C,screen_weekend_01,13,12000,True,True,True,True,True,4762,4762,PASS
C,social_weekend_01,14,12000,True,True,True,True,True,4077,4077,PASS
C,social_over_screen,15,12000,True,True,True,True,True,83,83,PASS
C,gaming_over_screen,16,12000,True,True,True,True,True,70,70,PASS
C,work_over_screen,17,12000,True,True,True,True,True,77,77,PASS
C,weekend_over_screen,18,12000,True,True,True,True,True,322,322,PASS
