fold,rule_family,social_threshold,secondary_threshold,secondary_feature,secondary_operator,coverage,base_target_rate,rule_target_rate,lift,rule_utility,rows,negative_zone_rows,feature_name
1,A_social_weekend,1.79,6.58,weekend_screen_time,>,0.16510678951373933,0.3249267289538028,0.6695434707988035,2.060598316902385,0.14002927441306495,20393,123514,neg_rule_social_weekend
1,B_social_work,1.79,1.99,work_study_hours,<=,0.22986867885421897,0.3249267289538028,0.6415539588616511,1.974457321277701,0.15180572885262328,28392,123514,neg_rule_social_work
1,C_social_screen,1.79,4.5,daily_screen_time_hours,>,0.23146363974934014,0.3249267289538028,0.6245059288537549,1.9219900156091665,0.14412955494859292,28589,123514,neg_rule_social_screen
2,A_social_weekend,1.79,6.58,weekend_screen_time,>,0.1655831307592289,0.3253272816843397,0.6703409257181876,2.0605124852966052,0.14039263168881838,20503,123823,neg_rule_social_weekend
2,B_social_work,1.68,2.0,work_study_hours,<=,0.26605719454382465,0.3253272816843397,0.6215395823215153,1.910505565667825,0.15278847385527927,32944,123823,neg_rule_social_work
2,C_social_screen,1.79,4.5,daily_screen_time_hours,>,0.23097485927493278,0.3253272816843397,0.6256993006993007,1.9232918231137084,0.14435832336589918,28600,123823,neg_rule_social_screen
3,A_social_weekend,1.79,6.58,weekend_screen_time,>,0.1649638573678472,0.3252513831119008,0.6685924112607099,2.055617426938611,0.1394505093628689,20425,123815,neg_rule_social_weekend
3,B_social_work,1.68,2.0,work_study_hours,<=,0.265274805152849,0.3252513831119008,0.6197594763282083,1.9054783730619331,0.15168590813460778,32845,123815,neg_rule_social_work
3,C_social_screen,1.79,4.5,daily_screen_time_hours,>,0.2313209223438194,0.3252513831119008,0.6248036032261444,1.9209867679830415,0.14407213775973332,28641,123815,neg_rule_social_screen
4,A_social_weekend,1.79,6.58,weekend_screen_time,>,0.16488118819886322,0.3257844651245523,0.6703280537439318,2.0575813935377654,0.13990386968550525,20393,123683,neg_rule_social_weekend
4,B_social_work,1.68,1.99,work_study_hours,<=,0.26532344784651085,0.3257844651245523,0.6182959531935641,1.897868128724862,0.15067137213641715,32816,123683,neg_rule_social_work
4,C_social_screen,1.79,4.5,daily_screen_time_hours,>,0.23014480567256615,0.3257844651245523,0.6253996135605129,1.9196729141808933,0.14373560325957555,28465,123683,neg_rule_social_screen
5,A_social_weekend,1.79,6.58,weekend_screen_time,>,0.1657060169279149,0.3251630948820139,0.6693335935213192,2.0584549847644555,0.14010149842061964,20498,123701,neg_rule_social_weekend
5,B_social_work,1.68,2.0,work_study_hours,<=,0.2666591215915797,0.3251630948820139,0.62071788031286,1.90894320444972,0.15262167572833446,32986,123701,neg_rule_social_work
5,C_social_screen,1.79,4.5,daily_screen_time_hours,>,0.23163111050031931,0.3251630948820139,0.6256238439255924,1.9240309056370661,0.14460595909401167,28653,123701,neg_rule_social_screen
