fold,gate_type,selected_quantile,numeric_threshold,train_gate_rows,valid_gate_rows,train_gate_target_rate,train_auc_exp016,train_auc_exp022,selected_catboost_weight,valid_gate_target_rate,valid_auc_exp016,valid_auc_exp022,valid_auc_gated,train_gate_coverage
1,nested_quantile,0.1,0.005490701599046542,12352,3160,0.0038860103626943004,0.6057769153662765,0.6563736047897702,1.0,0.004746835443037975,0.553619501854796,0.5636459989401166,0.5636459989401166,0.10000485774891915
1,fixed_structural,,,6201,1615,0.07869698435736172,0.8354995652710384,0.8397686610634935,0.75,0.07368421052631578,0.8581146362288231,0.8500876286343414,0.8539691277580551,0.011211455536571475
2,nested_quantile,0.1,0.005446654371917181,12383,3049,0.003795526124525559,0.6011535171233822,0.6530928332919392,1.0,0.005247622171203673,0.5812520606660073,0.5899480712166172,0.5899480712166172,0.10000565323082142
2,fixed_structural,,,6307,1509,0.07864277786586332,0.8421401499381042,0.8441554115942512,0.5,0.073558648111332,0.8299372333707098,0.8308072020518372,0.8324826972895641,0.011403104349162441
3,nested_quantile,0.1,0.00548302633687848,12382,3115,0.004280407042481021,0.6086156737374834,0.6370989093057173,1.0,0.0032102728731942215,0.5127536231884058,0.6287600644122383,0.6287600644122383,0.1000040382829221
3,fixed_structural,,,6226,1590,0.07725666559588822,0.8400937993627289,0.8412912611346032,0.5,0.07924528301886792,0.838917078671177,0.8427172781680977,0.8446851418162894,0.011256655728220287
4,nested_quantile,0.1,0.0055136693641543,12369,3199,0.00436575309240844,0.5897595524879325,0.6268792950481948,1.0,0.0031259768677711786,0.6384132957039824,0.6867356538099718,0.6867356538099718,0.1000056596298602
4,fixed_structural,,,6244,1572,0.0773542600896861,0.8327590426524035,0.8346179403664894,0.5,0.07888040712468193,0.867130413473534,0.868194172161825,0.8715803778292639,0.011289199866207432
5,nested_quantile,0.1,0.0053979479707777,12371,2948,0.004122544660900493,0.578004838298956,0.6125763941940413,1.0,0.004070556309362279,0.6991087647593097,0.7518732970027248,0.7518732970027248,0.10000727560811958
5,fixed_structural,,,6286,1530,0.07636016544702513,0.8488462007693192,0.848352638075554,0.5,0.08300653594771241,0.8050914519505447,0.8161476251676665,0.8136501647201442,0.011365115639961237
