variant,fold,C,base_model,coefficient,sign
META_PROBABILITIES,1,1.0,exp003,0.3144383831644594,+
META_PROBABILITIES,1,1.0,exp006,0.3531330911667659,+
META_PROBABILITIES,1,1.0,exp008,-0.11347095189932631,-
META_PROBABILITIES,1,1.0,exp012,-0.04406373900485841,-
META_PROBABILITIES,1,1.0,exp016,1.460868247529487,+
META_PROBABILITIES,1,1.0,exp019,0.1879970042942607,+
META_PROBABILITIES,1,1.0,exp022,0.5061365506653747,+
META_PROBABILITIES,2,1.0,exp003,0.3957588764031805,+
META_PROBABILITIES,2,1.0,exp006,0.34296538110680863,+
META_PROBABILITIES,2,1.0,exp008,-0.14330294328496399,-
META_PROBABILITIES,2,1.0,exp012,-0.031350060129329095,-
META_PROBABILITIES,2,1.0,exp016,1.4680585623226599,+
META_PROBABILITIES,2,1.0,exp019,0.1565903151333651,+
META_PROBABILITIES,2,1.0,exp022,0.47034678433682414,+
META_PROBABILITIES,3,3.0,exp003,0.36395724421206577,+
META_PROBABILITIES,3,3.0,exp006,0.31743848661953145,+
META_PROBABILITIES,3,3.0,exp008,-0.09626564029873279,-
META_PROBABILITIES,3,3.0,exp012,0.006620506227683856,+
META_PROBABILITIES,3,3.0,exp016,1.4395587226428477,+
META_PROBABILITIES,3,3.0,exp019,0.1482281806884814,+
META_PROBABILITIES,3,3.0,exp022,0.47829019327648425,+
META_PROBABILITIES,4,3.0,exp003,0.32539228705705364,+
META_PROBABILITIES,4,3.0,exp006,0.3458435569563707,+
META_PROBABILITIES,4,3.0,exp008,-0.1259714279724029,-
META_PROBABILITIES,4,3.0,exp012,-0.03384180712587741,-
META_PROBABILITIES,4,3.0,exp016,1.4739385031188972,+
META_PROBABILITIES,4,3.0,exp019,0.17228977641500212,+
META_PROBABILITIES,4,3.0,exp022,0.49485699876055594,+
META_PROBABILITIES,5,1.0,exp003,0.34336009528941314,+
META_PROBABILITIES,5,1.0,exp006,0.38450814549185564,+
META_PROBABILITIES,5,1.0,exp008,-0.08397936766568474,-
META_PROBABILITIES,5,1.0,exp012,-0.023080402809269523,-
META_PROBABILITIES,5,1.0,exp016,1.4542366846590846,+
META_PROBABILITIES,5,1.0,exp019,0.09736665533232078,+
META_PROBABILITIES,5,1.0,exp022,0.4889803012298848,+
META_LOGITS,1,1.0,exp003,-0.3557576376016044,-
META_LOGITS,1,1.0,exp006,0.5113491748191369,+
META_LOGITS,1,1.0,exp008,-0.05938824050427283,-
META_LOGITS,1,1.0,exp012,0.24212866133622643,+
META_LOGITS,1,1.0,exp016,3.4966460080722177,+
META_LOGITS,1,1.0,exp019,-0.030783707581928745,-
META_LOGITS,1,1.0,exp022,1.7280992880283574,+
META_LOGITS,2,0.3,exp003,0.015760616645156725,+
META_LOGITS,2,0.3,exp006,-0.008270755763091948,-
META_LOGITS,2,0.3,exp008,-0.10491700797430487,-
META_LOGITS,2,0.3,exp012,0.7722997358974146,+
META_LOGITS,2,0.3,exp016,2.724795483629335,+
META_LOGITS,2,0.3,exp019,0.20113432138397766,+
META_LOGITS,2,0.3,exp022,1.8637375352239371,+
META_LOGITS,3,10.0,exp003,-0.0770351499011519,-
META_LOGITS,3,10.0,exp006,-0.012151679219467495,-
META_LOGITS,3,10.0,exp008,-0.05197456047097218,-
META_LOGITS,3,10.0,exp012,0.8461461297950138,+
META_LOGITS,3,10.0,exp016,2.730370232549364,+
META_LOGITS,3,10.0,exp019,0.1250420598174567,+
META_LOGITS,3,10.0,exp022,1.8987891572741444,+
META_LOGITS,4,10.0,exp003,-0.291370793237278,-
META_LOGITS,4,10.0,exp006,0.48136212945289186,+
META_LOGITS,4,10.0,exp008,-0.11907792234603169,-
META_LOGITS,4,10.0,exp012,0.3288924080610188,+
META_LOGITS,4,10.0,exp016,3.479097832903552,+
META_LOGITS,4,10.0,exp019,-0.039692590349613366,-
META_LOGITS,4,10.0,exp022,1.649353156557174,+
META_LOGITS,5,10.0,exp003,-0.12090068464915647,-
