config,space,metric,signal_type,k,oof_auc,fold_mean,fold_std,fold_1_auc,fold_2_auc,fold_3_auc,fold_4_auc,fold_5_auc,pearson_exp016,spearman_exp016,pearson_residual,spearman_residual
SPACE-B|manhattan|mean|k=100,SPACE-B,manhattan,mean,100,0.9359630825540944,0.9359675820999271,0.0007553921337505625,0.9350168606373883,0.93533984098462,0.9366662330979412,0.9369905868293263,0.93582438895036,0.9084598144521278,0.9393274926651632,-0.0010249146070455213,0.16290099131922497
SPACE-B|manhattan|mean|k=200,SPACE-B,manhattan,mean,200,0.9358035633220056,0.9358088118822628,0.0007479481406217032,0.9349445962230989,0.935114652033582,0.9365399432828373,0.9368105181019916,0.9356343497698046,0.9075142263567694,0.944848517915788,-0.0016936597983911188,0.1506577719605467
SPACE-B|euclidean|mean|k=100,SPACE-B,euclidean,mean,100,0.935377365717903,0.9353824647135613,0.0007960011641204833,0.9344161723983833,0.9346882593863077,0.9360831150675654,0.9364951928554399,0.9352295838601107,0.9067872158231575,0.93830863726709,-0.0008829352332718251,0.1621492303529504
SPACE-B|euclidean|mean|k=200,SPACE-B,euclidean,mean,200,0.9352167190043907,0.9352224107936582,0.0008137797501389252,0.9342246251429716,0.9345332497819492,0.935955425100891,0.9363506698624121,0.9350480840800672,0.905852199609267,0.9436740898084407,-0.0014656538870790675,0.1502322510707992
SPACE-B|manhattan|mean|k=50,SPACE-B,manhattan,mean,50,0.934999455815527,0.935002833725453,0.000763580193985676,0.9341079566285284,0.9343593180241138,0.9355379245641695,0.9361792907773954,0.9348296786330577,0.9071577722620217,0.9309749248506254,-0.0007010456172884558,0.17703643990408566
SPACE-B|euclidean|mean|k=50,SPACE-B,euclidean,mean,50,0.9344835778143318,0.9344869507737401,0.0007214061362885007,0.9336188499529999,0.9338189353801327,0.935058271734371,0.9355218282126523,0.9344168685885449,0.9054483603587837,0.9299314858870912,-0.0004245080427563728,0.17646998611746578
SPACE-B|manhattan|weighted|k=50,SPACE-B,manhattan,weighted,50,0.933649645569859,0.9336531374820349,0.0007505037566234904,0.9327458972492153,0.9331119750407004,0.9341839578249737,0.934818182465974,0.9334056748293116,0.9037836383399506,0.9287073334540668,-0.00038465103213172096,0.17565890459784195
SPACE-B|euclidean|weighted|k=50,SPACE-B,euclidean,weighted,50,0.933178437500719,0.9331816130122741,0.0007117398838374951,0.9322794739932605,0.9326386408436296,0.9337584667702707,0.9342134452428548,0.9330180382113549,0.9022079699661886,0.9277235433772083,-0.0001242426592070666,0.175147085587527
SPACE-C|manhattan|mean|k=200,SPACE-C,manhattan,mean,200,0.9310117070454169,0.9310251801221707,0.0006579277569424356,0.9302649652946294,0.9306744333227772,0.9316375110315535,0.9319688042475086,0.9305801867143848,0.8949343095631348,0.9397560874764942,-0.0050814249304525294,0.1472026430078564
SPACE-C|manhattan|mean|k=100,SPACE-C,manhattan,mean,100,0.9309649630275814,0.9309727515912913,0.0005477323294489076,0.930182323495294,0.9307352179403916,0.9315588933518123,0.9316282246407546,0.930759098528204,0.8954093727218329,0.9344423635124288,-0.0048933873448523384,0.15812407913724427
