distance_band,rows,target_rate,auc_exp016,auc_best_knn,logloss_exp016,distance_mean
"(-0.001, 0.0593]",69137,0.6821094348901456,0.9196543376816495,0.8525780826137066,0.330182286646604,0.025739366929410843
"(0.0593, 0.109]",69137,0.613289555520199,0.9458364615058323,0.8996683385585157,0.2883949689738551,0.08661171013086993
"(0.109, 0.143]",69137,0.5880932062426776,0.9481242820791246,0.904299864918943,0.285280218776938,0.1265620737456602
"(0.143, 0.171]",69137,0.602499385278505,0.9529740967016651,0.9132215631831684,0.27056961770664356,0.15687867607680311
"(0.171, 0.199]",69137,0.6420729855215008,0.9582637431905465,0.9226289574014499,0.24987813155314592,0.18481794470203117
"(0.199, 0.23]",69136,0.6920128442490164,0.9669952552926613,0.9385799654062102,0.21428195889108428,0.2139418758937448
"(0.23, 0.266]",69137,0.7501337923253829,0.975197108590699,0.9522078871117445,0.1740901274744286,0.24742122742513065
"(0.266, 0.314]",69137,0.8052273023127993,0.9812087304206691,0.9627620244312476,0.13822394764309992,0.28916794947084123
"(0.314, 0.389]",69137,0.8463919464252138,0.9861071606760532,0.9719639933050827,0.10797118344972517,0.3479830162342115
"(0.389, 2.119]",69137,0.8724127457077976,0.989865579391684,0.9791988387666998,0.08472776058374888,0.48986518333638657
