signature,min_train_count,signature_count_sum_folds,valid_rows_covered,coverage,mean_purity,pct_rate_below_005,pct_rate_above_095,global_signal_auc,known_signature_coverage
A_1decimal_5vars,5,9459,19292,0.027904057023094758,0.7852452249664874,0.0272756105296543,0.2715931916693097,0.5402854641265881,0.09256561980649985
A_1decimal_5vars,10,1613,10534,0.01523643669299607,0.7537980468844829,0.0030998140111593306,0.17668939863608182,0.5402854641265881,0.09256561980649985
A_1decimal_5vars,20,483,7776,0.011247250021334483,0.743945448008692,0.0,0.13250517598343686,0.5402854641265881,0.09256561980649985
A_1decimal_5vars,50,188,5829,0.008431098299171644,0.7202691430396383,0.0,0.0,0.5402854641265881,0.09256561980649985
B_halfunit_5vars,5,129680,382050,0.5525992632009824,0.875110187891279,0.08618136952498458,0.4482032695866749,0.8792525868721105,0.8558353064716526
B_halfunit_5vars,10,53170,276538,0.3999861145061465,0.8411658150830033,0.07799511002444988,0.31055106262930227,0.8792525868721105,0.8558353064716526
B_halfunit_5vars,20,18303,170733,0.24694916896765692,0.8016951628291016,0.08867398787084084,0.20013112604491068,0.8792525868721105,0.8558353064716526
B_halfunit_5vars,50,3389,67980,0.09832665335009236,0.7529911672963209,0.07022720566538802,0.09973443493655945,0.8792525868721105,0.8558353064716526
C_mixed_3vars,5,9229,689665,0.9975353248410038,0.9011440016739739,0.05894463105428541,0.5622494311409687,0.9282056251038625,0.9995313645824444
C_mixed_3vars,10,8139,687890,0.9949679548837163,0.8973978482230249,0.05799238235655486,0.5483474628332718,0.9282056251038625,0.9995313645824444
C_mixed_3vars,20,7133,684310,0.9897898228008487,0.8932522623411782,0.06084396467124632,0.5323145941399131,0.9282056251038625,0.9995313645824444
C_mixed_3vars,50,5638,672048,0.9720539972142228,0.8879818226783796,0.05924086555516141,0.516317843206811,0.9282056251038625,0.9995313645824444
