feature,type,ks_statistic,wasserstein_distance,total_variation_distance,max_distance
academic_work_impact,categorical,,,0.02284086228582819,0.02284086228582819
stress_level,categorical,,,0.013529901618057588,0.013529901618057588
gender,categorical,,,0.005969636208721752,0.005969636208721752
notifications_per_day,numeric,0.0026829963944847712,0.20315409964369915,,0.0026829963944847712
sleep_hours,numeric,0.0021804612730302875,0.00308884912579789,,0.0021804612730302875
gaming_hours,numeric,0.0020888238500630374,0.00181436035587143,,0.0020888238500630374
app_opens_per_day,numeric,0.0020830649179256477,0.11250704267944903,,0.0020830649179256477
daily_screen_time_hours,numeric,0.0017266811624135903,0.005442689350012925,,0.0017266811624135903
weekend_screen_time,numeric,0.0016714928142461671,0.006609324134952374,,0.0016714928142461671
social_media_hours,numeric,0.0015994011471897607,0.002705384013005366,,0.0015994011471897607
age,numeric,0.001448085635752383,0.008484083864667175,,0.001448085635752383
work_study_hours,numeric,0.0009152991826077983,0.0016566475547633384,,0.0009152991826077983
