feature,train_missing_rate,test_missing_rate,delta_missing_pp,abs_delta_missing_pp
social_media_hours,0.19381111967704656,0.1599617957354321,-3.3849323941614466,3.3849323941614466
app_opens_per_day,0.1167393967620764,0.08675270501042855,-2.998669175164785,2.998669175164785
daily_screen_time_hours,0.13864376331597164,0.11065736984563047,-2.7986393470341167,2.7986393470341167
academic_work_impact,0.06396584168512039,0.08680670397094856,2.284086228582817,2.284086228582817
work_study_hours,0.07451592420256042,0.09374557039776985,1.922964619520942,1.922964619520942
notifications_per_day,0.0977538767286355,0.11549365174720387,1.773977501856837,1.773977501856837
gaming_hours,0.18343460583277527,0.2005386396311871,1.7104033798411828,1.7104033798411828
age,0.04184306788415448,0.0578396365869957,1.5996568702841218,1.5996568702841218
stress_level,0.07976637656591487,0.06623647494785725,-1.3529901618057616,1.3529901618057616
sleep_hours,0.06433612152121371,0.07578416615480152,1.1448044633587813,1.1448044633587813
weekend_screen_time,0.16208855184423948,0.17109908134268415,0.9010529498444664,0.9010529498444664
gender,0.04199494047317713,0.04796457668189887,0.5969636208721741,0.5969636208721741
