method,feature_a,feature_b,original_correlation,synthetic_correlation,absolute_difference
pearson,daily_screen_time_hours,social_media_hours,0.01032116057671049,0.5950736198887938,0.5847524593120833
spearman,daily_screen_time_hours,social_media_hours,0.010311304657168728,0.594056444790678,0.5837451401335093
pearson,daily_screen_time_hours,work_study_hours,0.0031082011014653996,0.5243940011391452,0.5212858000376799
spearman,daily_screen_time_hours,work_study_hours,0.0032699310003801566,0.5070051225708956,0.5037351915705154
spearman,social_media_hours,weekend_screen_time,0.012124845300813187,0.48914137975056265,0.47701653444974945
pearson,social_media_hours,weekend_screen_time,0.011403815924040656,0.478383362380409,0.46697954645636836
pearson,daily_screen_time_hours,gaming_hours,0.0011395493393180135,0.42914759939646896,0.4280080500571509
pearson,work_study_hours,weekend_screen_time,0.004666533142372621,0.4153487104854367,0.41068217734306406
spearman,work_study_hours,weekend_screen_time,0.005020693289289183,0.40883747455976466,0.4038167812704755
spearman,daily_screen_time_hours,gaming_hours,0.0013177054140691396,0.4040116147373583,0.4026939093232892
pearson,gaming_hours,weekend_screen_time,-0.006282355644958502,0.3413664932265706,0.3476488488715291
spearman,gaming_hours,weekend_screen_time,-0.005770876089835837,0.3265014697395661,0.33227234582940196
pearson,daily_screen_time_hours,weekend_screen_time,0.9642952463169229,0.7998192870564795,0.16447595926044334
spearman,daily_screen_time_hours,weekend_screen_time,0.9660982333141901,0.8125140647598473,0.15358416855434276
spearman,social_media_hours,work_study_hours,-0.002692020622061831,0.12479743256873466,0.1274894531907965
spearman,social_media_hours,gaming_hours,-0.0010348117792669995,0.10014526972688217,0.10118008150614917
pearson,social_media_hours,work_study_hours,-0.002579755299426648,0.09681032851967128,0.09939008381909793
pearson,social_media_hours,gaming_hours,-0.000902091799588711,0.08712591336372265,0.08802800516331136
spearman,social_media_hours,app_opens_per_day,-0.00048447641771551524,0.050838556876280666,0.05132303329399618
spearman,gaming_hours,work_study_hours,0.0045487093015225185,0.054417946335164946,0.049869237033642426
pearson,social_media_hours,app_opens_per_day,-0.0003705890019520318,0.048521164890252065,0.0488917538922041
pearson,gaming_hours,work_study_hours,0.004383838417763498,0.046631155708066245,0.04224731729030275
spearman,daily_screen_time_hours,app_opens_per_day,0.024326126603962637,0.05816397593787037,0.03383784933390774
pearson,gaming_hours,app_opens_per_day,-0.009917311119267004,0.02200248459995372,0.031919795719220725
pearson,daily_screen_time_hours,app_opens_per_day,0.024447936448023986,0.05625498919256031,0.031807052744536324
pearson,work_study_hours,app_opens_per_day,-0.021675798106381948,0.009686938832199066,0.031362736938581014
spearman,work_study_hours,app_opens_per_day,-0.02165907711751128,0.008333501798917904,0.029992578916429185
