analysis,feature,auc_direct,auc_oriented,direction,category_rates,rows,target_rate,logistic_oof_auc,lightgbm_oof_auc,importance
individual_numeric,age,0.516334338759565,0.516334338759565,higher_positive,,,,,,
individual_numeric,daily_screen_time_hours,0.5044476679483934,0.5044476679483934,higher_positive,,,,,,
individual_numeric,social_media_hours,0.5316133637263706,0.5316133637263706,higher_positive,,,,,,
individual_numeric,gaming_hours,0.5094824741160308,0.5094824741160308,higher_positive,,,,,,
individual_numeric,work_study_hours,0.47790748543666967,0.5220925145633304,lower_positive,,,,,,
individual_numeric,sleep_hours,0.539466817096851,0.539466817096851,higher_positive,,,,,,
individual_numeric,notifications_per_day,0.4986818171352261,0.5013181828647739,lower_positive,,,,,,
individual_numeric,app_opens_per_day,0.5131914224094926,0.5131914224094926,higher_positive,,,,,,
individual_numeric,weekend_screen_time,0.4790606555993031,0.5209393444006969,lower_positive,,,,,,
categorical_rates,gender,,,,"{'Female': {'count': 340, 'mean': 0.4588235294117647}, 'Male': {'count': 343, 'mean': 0.4839650145772595}, 'Other': {'count': 342, 'mean': 0.4239766081871345}}",,,,,
categorical_rates,stress_level,,,,"{'High': {'count': 327, 'mean': 0.45871559633027525}, 'Low': {'count': 382, 'mean': 0.43455497382198954}, 'Medium': {'count': 316, 'mean': 0.4778481012658228}}",,,,,
categorical_rates,academic_work_impact,,,,"{'No': {'count': 499, 'mean': 0.4529058116232465}, 'Yes': {'count': 526, 'mean': 0.45817490494296575}}",,,,,
metrics,,,,,,1025.0,0.455609756097561,0.5156723691986522,0.5278890654141052,"{'work_study_hours': {'logistic_abs_coef': 0.0, 'lightgbm_gain': 143.7918461561203}, 'sleep_hours': {'logistic_abs_coef': 0.0, 'lightgbm_gain': 135.321698141098}, 'social_media_hours': {'logistic_abs_coef': 0.0, 'lightgbm_gain': 111.524577999115}, 'daily_screen_time_hours': {'logistic_abs_coef': 0.0, 'lightgbm_gain': 108.23531174659729}, 'notifications_per_day': {'logistic_abs_coef': 0.0, 'lightgbm_gain': 97.99549570083619}, 'age': {'logistic_abs_coef': 0.0, 'lightgbm_gain': 90.25792832374573}, 'weekend_screen_time': {'logistic_abs_coef': 0.0, 'lightgbm_gain': 88.00152056217193}, 'gaming_hours': {'logistic_abs_coef': 0.0, 'lightgbm_gain': 84.18765592575073}, 'app_opens_per_day': {'logistic_abs_coef': 0.0, 'lightgbm_gain': 62.56087226867676}, 'gender': {'logistic_abs_coef': 0.0, 'lightgbm_gain': 33.479812145233154}, 'academic_work_impact': {'logistic_abs_coef': 0.0, 'lightgbm_gain': 15.728960084915162}, 'stress_level': {'logistic_abs_coef': 0.0, 'lightgbm_gain': 10.769230127334595}, 'cat__academic_work_impact_Yes': {'logistic_abs_coef': 0.03449134455927899, 'lightgbm_gain': 0.0}, 'cat__stress_level_Low': {'logistic_abs_coef': 0.13145025570750582, 'lightgbm_gain': 0.0}, 'cat__stress_level_Medium': {'logistic_abs_coef': 0.05979247097332145, 'lightgbm_gain': 0.0}, 'cat__gender_Other': {'logistic_abs_coef': 0.1677390285711002, 'lightgbm_gain': 0.0}, 'cat__stress_level_High': {'logistic_abs_coef': 0.029302866329562267, 'lightgbm_gain': 0.0}, 'cat__gender_Male': {'logistic_abs_coef': 0.09355061517757321, 'lightgbm_gain': 0.0}, 'cat__gender_Female': {'logistic_abs_coef': 0.02663137905077389, 'lightgbm_gain': 0.0}, 'cat__academic_work_impact_No': {'logistic_abs_coef': 0.05183571214722652, 'lightgbm_gain': 0.0}, 'num__age': {'logistic_abs_coef': 0.060751311783615126, 'lightgbm_gain': 0.0}, 'num__sleep_hours': {'logistic_abs_coef': 0.13460423216343836, 'lightgbm_gain': 0.0}, 'num__notifications_per_day': {'logistic_abs_coef': 0.028296652711314364, 'lightgbm_gain': 0.0}, 'num__gaming_hours': {'logistic_abs_coef': 0.04231105043206239, 'lightgbm_gain': 0.0}, 'num__daily_screen_time_hours': {'logistic_abs_coef': 0.0958380324175526, 'lightgbm_gain': 0.0}, 'num__app_opens_per_day': {'logistic_abs_coef': 0.040052661916584686, 'lightgbm_gain': 0.0}, 'num__work_study_hours': {'logistic_abs_coef': 0.07097943530432836, 'lightgbm_gain': 0.0}, 'num__social_media_hours': {'logistic_abs_coef': 0.11074787575368823, 'lightgbm_gain': 0.0}, 'num__weekend_screen_time': {'logistic_abs_coef': 0.13326550575413604, 'lightgbm_gain': 0.0}}"
