feature,type,original_missing,synthetic_missing,original_mean,synthetic_mean,original_median,synthetic_median,original_std,synthetic_std,original_min,synthetic_min,original_max,synthetic_max,ks_statistic,wasserstein,original_unique,synthetic_unique,original_granularity,synthetic_granularity,original_q01,synthetic_q01,original_q05,synthetic_q05,original_q10,synthetic_q10,original_q25,synthetic_q25,original_q50,synthetic_q50,original_q75,synthetic_q75,original_q90,synthetic_q90,original_q95,synthetic_q95,original_q99,synthetic_q99,tv_distance,original_categories,synthetic_categories
age,numeric,0.0,0.04184306788415448,26.5688,26.61540818791136,27.0,27.0,5.197108287429992,5.153162178266936,18.0,18.0,35.0,35.0,0.006724730793229106,0.06930300907755188,18.0,18.0,1.0,1.0,18.0,18.0,18.0,18.0,19.0,19.0,22.0,22.0,27.0,27.0,31.0,31.0,34.0,34.0,35.0,35.0,35.0,35.0,,,
daily_screen_time_hours,numeric,0.0,0.13864376331597164,7.499911999999999,7.6408654878550495,7.525,7.77,2.6091875057537273,2.721446351675991,3.0,0.5,12.0,15.0,0.04232168123388999,0.22210381038261007,900.0,1389.0,0.01,0.01,3.0799,2.03,3.45,3.19,3.87,3.97,5.22,5.48,7.525,7.77,9.81,9.84,11.06,11.24,11.54,11.71,11.910100000000002,12.68,,,
social_media_hours,numeric,0.0,0.19381111967704656,3.273484,2.4710382077384305,3.27,2.31,1.5853415350585198,1.316137101001467,0.5,0.0,6.0,8.0,0.240312203056954,0.8061145129314727,551.0,721.0,0.01,0.01,0.55,0.22,0.8,0.58,1.06,0.85,1.91,1.45,3.27,2.31,4.63,3.37,5.46,4.33,5.74,4.86,5.95,5.71,,,
gaming_hours,numeric,0.0,0.18343460583277527,2.0141826666666667,1.4592647215117227,2.04,1.33,1.1460391322835588,0.9345517121852581,0.0,0.0,4.0,4.0,0.23703892624424017,0.5549480649392671,401.0,401.0,0.01,0.01,0.05,0.05,0.22,0.18,0.42,0.32,1.02,0.7,2.04,1.33,2.99,2.09,3.6,2.8,3.81,3.21,3.96,3.83,,,
work_study_hours,numeric,0.0,0.07451592420256042,3.24242,2.366970904163625,3.23,2.2,1.6007649182114314,1.258796742542741,0.5,0.0,6.0,6.0,0.25886815065799174,0.8754490958363745,551.0,600.0,0.01,0.01,0.57,0.37,0.76,0.63,1.02,0.84,1.85,1.36,3.23,2.2,4.64,3.2,5.46,4.15,5.710499999999993,4.71,5.94,5.67,,,
sleep_hours,numeric,0.0,0.06433612152121371,6.737561333333333,6.80433409750359,6.72,6.8,1.283604878887153,1.2345120561267866,4.5,4.5,9.0,9.0,0.0366128371328002,0.070544479655706,451.0,451.0,0.01,0.01,4.54,4.57,4.74,4.84,4.98,5.13,5.63,5.78,6.72,6.8,7.84,7.87,8.53,8.52,8.76,8.73,8.95,8.94,,,
notifications_per_day,numeric,0.0,0.0977538767286355,134.25733333333332,145.89489968498762,134.0,150.0,66.58688275190671,65.91755632228919,20.0,20.0,250.0,250.0,0.08259060306569305,11.649707107416818,231.0,231.0,1.0,1.0,22.0,23.0,31.0,33.0,41.0,49.0,76.0,93.0,134.0,150.0,191.0,204.0,227.0,232.0,239.0,240.0,248.0,248.0,,,
app_opens_per_day,numeric,0.0,0.1167393967620764,97.8324,102.63678092028448,98.0,104.0,48.42334856586759,48.09397048505239,15.0,15.0,180.0,180.0,0.0548730017898697,4.807483400719551,166.0,166.0,1.0,1.0,16.0,16.0,22.0,23.0,31.0,35.0,55.0,64.0,98.0,104.0,140.0,145.0,164.0,167.0,173.0,175.0,179.0,179.0,,,
weekend_screen_time,numeric,0.0,0.16208855184423948,9.243826666666669,9.479866442778084,9.26,9.58,2.718280981948297,2.8560055145844685,3.58,0.51,14.88,17.56,0.04418432538244038,0.2817258585894156,1096.0,1437.0,0.01,0.01,4.12,3.67,4.95,4.72,5.6,5.63,6.96,7.28,9.26,9.58,11.54,11.75,12.91,13.19,13.47,13.96,14.34,15.31,,,
gender,categorical,0.0,0.04199494047317713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04199494047317711,Male|Other|Female,Male|Female|Other|__MISSING__
stress_level,categorical,0.0,0.07976637656591487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07976637656591486,High|Low|Medium,High|Low|Medium|__MISSING__
academic_work_impact,categorical,0.0,0.06396584168512039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06396584168512034,No|Yes,Yes|No|__MISSING__
