candidate,method,weights,auc,folds,std,cat_weight
seed42,individual,{42: 1},0.9657017303568276,"[0.9650202929179754, 0.9656644620983974, 0.9658836874972772, 0.966455024819542, 0.9654874019318932]",0.00047164447308606697,
seed2026,individual,{2026: 1},0.9656868289434649,"[0.9650124060444478, 0.9656041138784819, 0.9659033713169703, 0.9664799479488169, 0.9654381002872973]",0.0004897916800493576,
seed777,individual,{777: 1},0.9656722641151995,"[0.9650144634566219, 0.9656164539114347, 0.9658512689838057, 0.9664340848341471, 0.9654539321706729]",0.00046816302573230307,
seed_ensemble,probability,"{42: 0.0, 2026: 0.0, 777: 1.0}",0.9656722641151995,"[0.9650144634566219, 0.9656164539114347, 0.9658512689838057, 0.9664340848341471, 0.9654539321706729]",0.00046816302573230307,
seed_ensemble,rank,"{42: 0.0, 2026: 0.0, 777: 1.0}",0.9656722641151995,"[0.9650144634566219, 0.9656164539114347, 0.9658512689838057, 0.9664340848341471, 0.9654539321706729]",0.00046816302573230307,
seed_ensemble,probability,"{42: 0.0, 2026: 0.1, 777: 0.9}",0.9657028248901575,"[0.9650398571088807, 0.9656432498718802, 0.9658913792604386, 0.9664663939944745, 0.965479712881264]",0.0004714735600683286,
seed_ensemble,rank,"{42: 0.0, 2026: 0.1, 777: 0.9}",0.9657021614425172,"[0.9650395728160774, 0.9656422464108925, 0.9658909234531908, 0.9664652190190424, 0.9654789958623864]",0.0004712317416016197,
seed_ensemble,probability,"{42: 0.0, 2026: 0.2, 777: 0.8}",0.9657269283208699,"[0.9650594527610153, 0.9656632934659551, 0.965923093448322, 0.9664936858498634, 0.9654993795216503]",0.00047492014147593523,
seed_ensemble,rank,"{42: 0.0, 2026: 0.2, 777: 0.8}",0.9657257940498967,"[0.9650590414815561, 0.9656614973849611, 0.9659223192229858, 0.9664916796890467, 0.9654986003408395]",0.00047444905134942135,
seed_ensemble,probability,"{42: 0.0, 2026: 0.3, 777: 0.7}",0.9657445570275097,"[0.9650735116173461, 0.9656770692980808, 0.9659474878259664, 0.9665140566153527, 0.9655129782692693]",0.0004778691676533128,
seed_ensemble,rank,"{42: 0.0, 2026: 0.3, 777: 0.7}",0.9657431561626684,"[0.9650727748156501, 0.9656751275820407, 0.9659462223994995, 0.9665114539597744, 0.9655120094311295]",0.0004772807555247589,
seed_ensemble,probability,"{42: 0.0, 2026: 0.4, 777: 0.6}",0.9657557582020169,"[0.9650820765564845, 0.9656854765504926, 0.9659639491531171, 0.9665282302797991, 0.9655201967921182]",0.000480485581848082,
seed_ensemble,rank,"{42: 0.0, 2026: 0.4, 777: 0.6}",0.9657541190330997,"[0.965081389356969, 0.96568316288153, 0.9659623527494421, 0.9665254883321649, 0.9655191498075472]",0.00047982960016759014,
seed_ensemble,probability,"{42: 0.0, 2026: 0.5, 777: 0.5}",0.9657603233270566,"[0.9650848594798331, 0.9656870057184755, 0.9659732382079719, 0.966535766005411, 0.9655219750040085]",0.0004827174320808211,
seed_ensemble,rank,"{42: 0.0, 2026: 0.5, 777: 0.5}",0.9657586237118605,"[0.9650840059671246, 0.9656846007104599, 0.9659711780048821, 0.9665330349677193, 0.9655210945880479]",0.0004820582091344746,
seed_ensemble,probability,"{42: 0.0, 2026: 0.6, 777: 0.4}",0.9657586642715573,"[0.9650821996104868, 0.9656827687281433, 0.9659746696939119, 0.9665374423307577, 0.9655171332236698]",0.00048473812869318194,
seed_ensemble,rank,"{42: 0.0, 2026: 0.6, 777: 0.4}",0.9657569876687754,"[0.9650814407351862, 0.9656804067255985, 0.9659723857101417, 0.966534970721349, 0.9655163809374097]",0.0004841020062436163,
seed_ensemble,probability,"{42: 0.0, 2026: 0.7, 777: 0.3}",0.9657504179924886,"[0.9650735730174876, 0.9656726564800712, 0.9659679244316898, 0.9665327811212671, 0.9655066462517132]",0.000486413672946243,
seed_ensemble,rank,"{42: 0.0, 2026: 0.7, 777: 0.3}",0.9657488928910584,"[0.9650729257788077, 0.9656705998290556, 0.9659657834189099, 0.9665306541899246, 0.9655060663696735]",0.0004858431432962384,
seed_ensemble,probability,"{42: 0.0, 2026: 0.8, 777: 0.2}",0.9657356864853344,"[0.9650589021895002, 0.9656560156463088, 0.9659539348408075, 0.9665212082095017, 0.9654899877414789]",0.000487735276516976,
seed_ensemble,rank,"{42: 0.0, 2026: 0.8, 777: 0.2}",0.9657344369746873,"[0.9650582125796481, 0.9656543133147039, 0.9659518830104643, 0.9665197585826111, 0.9654897879352631]",0.00048735296556083217,
seed_ensemble,probability,"{42: 0.0, 2026: 0.9, 777: 0.1}",0.9657145148564559,"[0.9650387644654561, 0.965633386522728, 0.9659325230638308, 0.9665036919162859, 0.9654675177247383]",0.0004887849834746267,
seed_ensemble,rank,"{42: 0.0, 2026: 0.9, 777: 0.1}",0.9657137541274511,"[0.9650383525516981, 0.9656324661549067, 0.9659311732755997, 0.9665027511240378, 0.9654673280674096]",0.0004885255354582801,
seed_ensemble,probability,"{42: 0.0, 2026: 1.0, 777: 0.0}",0.9656868289434649,"[0.9650124060444478, 0.9656041138784819, 0.9659033713169703, 0.9664799479488169, 0.9654381002872973]",0.0004897916800493576,
seed_ensemble,rank,"{42: 0.0, 2026: 1.0, 777: 0.0}",0.9656868289434649,"[0.9650124060444478, 0.9656041138784819, 0.9659033713169703, 0.9664799479488169, 0.9654381002872973]",0.0004897916800493576,
seed_ensemble,probability,"{42: 0.1, 2026: 0.0, 777: 0.9}",0.9657046193510048,"[0.9650439131971437, 0.9656493189713888, 0.9658869423390675, 0.9664647204600434, 0.9654854058995125]",0.000468749459550044,
seed_ensemble,rank,"{42: 0.1, 2026: 0.0, 777: 0.9}",0.9657038303423567,"[0.9650435092755525, 0.9656484961587508, 0.9658859752868413, 0.9664637851227663, 0.9654845325877729]",0.00046858833153503324,
seed_ensemble,probability,"{42: 0.1, 2026: 0.1, 777: 0.8}",0.9657318850121549,"[0.9650665310302025, 0.9656730106726221, 0.9659226801391061, 0.9664947214063794, 0.9655079558387395]",0.0004721488188465346,
seed_ensemble,rank,"{42: 0.1, 2026: 0.1, 777: 0.8}",0.9657305643228684,"[0.965065800571496, 0.9656713231836134, 0.9659212580407909, 0.9664927404906624, 0.9655068161187119]",0.00047175311023466997,
seed_ensemble,probability,"{42: 0.1, 2026: 0.2, 777: 0.7}",0.9657526524953454,"[0.9650827333096492, 0.9656901680794743, 0.9659502833084347, 0.9665174874116802, 0.9655246099088356]",0.00047512714312495535,
seed_ensemble,rank,"{42: 0.1, 2026: 0.2, 777: 0.7}",0.9657509733096924,"[0.9650818616559899, 0.9656878843494238, 0.9659485394936764, 0.9665151893464727, 0.9655232198918788]",0.0004746830776055435,
seed_ensemble,probability,"{42: 0.1, 2026: 0.3, 777: 0.6}",0.9657669222623464,"[0.965094185831468, 0.9657009183054615, 0.9659704178609835, 0.9665347638130213, 0.9655346233083456]",0.0004778880035437052,
seed_ensemble,rank,"{42: 0.1, 2026: 0.3, 777: 0.6}",0.965764951998835,"[0.9650932851269154, 0.9656982640179463, 0.9659684056108966, 0.9665319367424637, 0.9655335197437286]",0.0004772427991553846,
seed_ensemble,probability,"{42: 0.1, 2026: 0.4, 777: 0.5}",0.9657746098598825,"[0.9651000775809815, 0.9657058990747786, 0.9659831175414584, 0.9665456794641827, 0.9655384659307437]",0.00048031296115088354,
seed_ensemble,rank,"{42: 0.1, 2026: 0.4, 777: 0.5}",0.9657725690418831,"[0.9650989673040455, 0.9657030504380557, 0.9659807418380554, 0.9665428773850051, 0.9655373402922974]",0.00047971148728996377,
seed_ensemble,probability,"{42: 0.1, 2026: 0.5, 777: 0.4}",0.9657760745911499,"[0.9650998532928619, 0.9657048816592133, 0.9659881668150653, 0.9665504718467025, 0.9655374099390356]",0.0004824891047722687,
seed_ensemble,rank,"{42: 0.1, 2026: 0.5, 777: 0.4}",0.96577401073029,"[0.9650987673730067, 0.9657018200248927, 0.9659853113279133, 0.966547786605397, 0.9655364247358151]",0.00048186911938587245,
seed_ensemble,probability,"{42: 0.1, 2026: 0.6, 777: 0.3}",0.965771110572428,"[0.9650941172003182, 0.9656980586319364, 0.9659855604805532, 0.9665494966754494, 0.9655294104593202]",0.00048455113397100633,
seed_ensemble,rank,"{42: 0.1, 2026: 0.6, 777: 0.3}",0.9657691211073789,"[0.9650931641026699, 0.9656950505324494, 0.96598263725027, 0.9665469183769521, 0.9655286627400592]",0.00048389712699918933,
seed_ensemble,probability,"{42: 0.1, 2026: 0.7, 777: 0.2}",0.9657594793017399,"[0.9650826309337938, 0.9656841070989929, 0.9659748244628631, 0.9665409248858821, 0.965516074821601]",0.0004858149628646173,
seed_ensemble,rank,"{42: 0.1, 2026: 0.7, 777: 0.2}",0.965757736853515,"[0.9650816683216605, 0.9656815898200575, 0.965972195674167, 0.9665389088300014, 0.965515399793744]",0.00048534859454185626,
seed_ensemble,probability,"{42: 0.1, 2026: 0.8, 777: 0.1}",0.9657414129025391,"[0.9650649808034932, 0.965664766181329, 0.9659570208322091, 0.966526659501803, 0.9654961165275696]",0.00048717618735691495,
seed_ensemble,rank,"{42: 0.1, 2026: 0.8, 777: 0.1}",0.9657400488372625,"[0.9650643269681037, 0.9656629968677517, 0.9659548545743297, 0.9665252606188306, 0.9654956449849003]",0.0004868198285157627,
seed_ensemble,probability,"{42: 0.1, 2026: 0.9, 777: 0.0}",0.9657169253801757,"[0.9650420363064592, 0.9656384772794885, 0.9659315525863902, 0.9665063559720056, 0.9654697483232735]",0.0004882599408867114,
