stage,seed,fold,auc,best_iteration,last_iteration,seconds
diagnostic,42,1,0.9650202929179754,7852,8152,577.7685654999223
diagnostic,42,2,0.9656644620983974,7728,8028,567.5533163000364
diagnostic,42,3,0.9658836874972772,7984,8284,598.1639858998824
diagnostic,2026,1,0.9650124060444478,6905,7205,512.6889772999566
diagnostic,2026,2,0.9656041138784819,7527,7827,554.6768721998669
diagnostic,2026,3,0.9659033713169703,8346,8646,589.9413418001495
diagnostic,777,1,0.9650144634566219,6748,7048,469.3193447000813
diagnostic,777,2,0.9656164539114347,7407,7707,515.9074925999157
diagnostic,777,3,0.9658512689838057,6285,6585,443.4417716001626
full_completion,2026,4,0.9664799479488169,7515,7815,557.2836458999664
full_completion,2026,5,0.9654381002872973,7476,7776,533.5621788001154
full_completion,777,4,0.9664340848341471,8028,8328,576.1439473999199
full_completion,777,5,0.9654539321706729,7770,8070,552.1997729998548
