seed_a,seed_b,pearson,spearman
42,2026,0.9989039232993273,0.9990196668251662
42,777,0.9988714086040045,0.9989354889201675
42,31415,0.9989120131606076,0.9990667808350259
42,1234,0.9988995983505365,0.9990425958268672
2026,777,0.998883599786927,0.9989299402880394
2026,31415,0.9989336529522861,0.9990401170526545
2026,1234,0.9989013106168106,0.999000754741409
777,31415,0.9988772230102348,0.9989136099244548
777,1234,0.998864453318824,0.9989267085491568
31415,1234,0.9989051021481402,0.9990534908364522
