seed,fold,auc,best_iteration,last_iteration,seconds
31415,1,0.9650096030772511,7324,7624,510.15134580014274
31415,2,0.9656656534387433,7020,7320,456.5318343001418
31415,3,0.9658775750117186,8115,8415,532.6732028999832
31415,4,0.9664635311494543,7325,7625,463.60765899997205
31415,5,0.9654074945420312,6941,7241,447.51207699999213
1234,1,0.9650638814364996,7998,8298,533.549344399944
1234,2,0.9656515770757605,7745,8045,507.77639429992996
1234,3,0.9658974382111635,8054,8354,507.3479132000357
1234,4,0.9664304641287047,7713,8013,482.31134749995545
1234,5,0.9654428755924249,7465,7765,468.2927153001074
