stage,name,method,weights,auc,delta,fold1,fold2,fold3,fold4,fold5,std
marginal,marginal_31415_0.025,probability,42:0.390000;2026:0.292500;777:0.292500;31415:0.025000,0.965796963697612,2.300992748671682e-06,0.9651203236432911,0.9657382497182593,0.9660002362560729,0.9665631804073631,0.9655630714002025,0.00047841456265285896
marginal,marginal_31415_0.025,rank,42:0.390000;2026:0.292500;777:0.292500;31415:0.025000,0.965794527751137,-1.3495372630512037e-07,0.9651188617110001,0.9657349637958189,0.9659966841817801,0.9665603112193532,0.9655620528325154,0.0004777883594135422
marginal,marginal_31415_0.05,probability,42:0.380000;2026:0.285000;777:0.285000;31415:0.050000,0.9657989938289204,4.331124057066482e-06,0.9651223905699502,0.965741466375251,0.9660020062039489,0.9665654962329421,0.9655637511219195,0.00047857715469109825
marginal,marginal_31415_0.05,rank,42:0.380000;2026:0.285000;777:0.285000;31415:0.050000,0.9657965255483545,1.8628434911294178e-06,0.965120911257867,0.96573787586244,0.9659987908155552,0.9665626519094522,0.9655628538334341,0.0004779869712516242
marginal,marginal_31415_0.075,probability,42:0.370000;2026:0.277500;777:0.277500;31415:0.075000,0.9658007037755991,6.041070735762766e-06,0.9651239671834969,0.9657441956369056,0.9660038289255003,0.9665677909997951,0.9655640637076439,0.00047892519691000794
marginal,marginal_31415_0.075,rank,42:0.370000;2026:0.277500;777:0.277500;31415:0.075000,0.9657982264118534,3.56370699006181e-06,0.965122383085222,0.9657407656017367,0.9660005433836392,0.9665648612996622,0.9655632236335098,0.00047832068275754133
marginal,marginal_31415_0.1,probability,42:0.360000;2026:0.270000;777:0.270000;31415:0.100000,0.9658022298107194,7.5671058560322635e-06,0.9651254752927538,0.9657466786636962,0.9660054930723064,0.9665699526907218,0.9655642872368835,0.0004792522386084578
marginal,marginal_31415_0.1,rank,42:0.360000;2026:0.270000;777:0.270000;31415:0.100000,0.9657997351178902,5.072413026829814e-06,0.9651239179618961,0.9657431730200888,0.9660020324639269,0.9665669973649103,0.965563289347554,0.0004786335060463208
marginal,marginal_31415_0.15,probability,42:0.340000;2026:0.255000;777:0.255000;31415:0.150000,0.9658044980887971,9.835383933731734e-06,0.9651275248396207,0.9657512198638196,0.9660076951046482,0.9665732505379829,0.9655641539058784,0.0004798261486081962
marginal,marginal_31415_0.15,rank,42:0.340000;2026:0.255000;777:0.255000;31415:0.150000,0.9658019558234473,7.293118583939773e-06,0.96512585105147,0.9657478004848737,0.9660043890115003,0.9665700779013406,0.9655630346104866,0.0004791918517708847
marginal,marginal_31415_0.2,probability,42:0.320000;2026:0.240000;777:0.240000;31415:0.200000,0.9658056739952404,1.1011290377060945e-05,0.9651287312762822,0.9657543801950619,0.9660087628835526,0.9665753487990114,0.9655629669935258,0.00048029843324328233
marginal,marginal_31415_0.2,rank,42:0.320000;2026:0.240000;777:0.240000;31415:0.200000,0.9658031016640576,8.43895919422355e-06,0.9651268570496537,0.965750830657965,0.9660054263440535,0.9665719081076197,0.9655618718017409,0.00047963092537065195
