stage,name,method,weights,auc,delta,fold1,fold2,fold3,fold4,fold5,std
equal_subset4,subset_42_2026_777_31415,probability,42:0.250000;2026:0.250000;777:0.250000;31415:0.250000,0.9658054125518907,1.0749847027313741e-05,0.9651281038277304,0.9657545465082545,0.9660099162928193,0.9665769024509352,0.9655591333782648,0.0004814573426229663
equal_subset4,subset_42_2026_777_31415,rank,42:0.250000;2026:0.250000;777:0.250000;31415:0.250000,0.9658028577476931,8.195042829783894e-06,0.9651263104107919,0.9657510030604279,0.9660066671597197,0.966573438417341,0.9655583295864023,0.0004807351969494223
equal_subset4,subset_42_2026_777_1234,probability,42:0.250000;2026:0.250000;777:0.250000;1234:0.250000,0.9658094045840956,1.4741879232227362e-05,0.9651455580865057,0.9657514022882064,0.9660146827959408,0.9665673403937991,0.9655688338114671,0.0004729770491242159
equal_subset4,subset_42_2026_777_1234,rank,42:0.250000;2026:0.250000;777:0.250000;1234:0.250000,0.9658068863866356,1.2223681772227657e-05,0.965143785982013,0.9657481345067169,0.9660113145414927,0.9665643237947058,0.9655673976170736,0.0004724428099508887
equal_subset4,subset_42_2026_31415_1234,probability,42:0.250000;2026:0.250000;31415:0.250000;1234:0.250000,0.9658093775070855,1.4714802222148826e-05,0.9651437793853037,0.9657646533013555,0.9660113668077287,0.966574855694984,0.9655560177967698,0.0004766478626626138
equal_subset4,subset_42_2026_31415_1234,rank,42:0.250000;2026:0.250000;31415:0.250000;1234:0.250000,0.9658070293731404,1.2366668277086212e-05,0.9651417176598962,0.9657610398269212,0.966009320939796,0.9665720657943464,0.9655543696174961,0.00047640151189394286
equal_subset4,subset_42_777_31415_1234,probability,42:0.250000;777:0.250000;31415:0.250000;1234:0.250000,0.9658082486403505,1.3585935487170353e-05,0.9651448568055526,0.9657665317143571,0.9660063548309017,0.9665647053889729,0.9655609294775687,0.0004721160366441
equal_subset4,subset_42_777_31415_1234,rank,42:0.250000;777:0.250000;31415:0.250000;1234:0.250000,0.9658058116282512,1.1148923387827026e-05,0.9651430177190875,0.9657639941378545,0.9660030061128624,0.966561546706908,0.9655594403821014,0.0004715429302264656
equal_subset4,subset_2026_777_31415_1234,probability,2026:0.250000;777:0.250000;31415:0.250000;1234:0.250000,0.9658041572412016,9.49453633825037e-06,0.9651392026644372,0.9657504116400583,0.966013194603672,0.9665697820642958,0.9655487692078428,0.0004775257373466487
equal_subset4,subset_2026_777_31415_1234,rank,2026:0.250000;777:0.250000;31415:0.250000;1234:0.250000,0.9658017098976196,7.0471927562376635e-06,0.9651372009437135,0.9657473470879621,0.9660106765635779,0.9665663129563098,0.9655473727209705,0.0004769695468534996
equal_control,equal_3,probability,42:0.333333;2026:0.333333;777:0.333333,0.9657942382361941,-4.244686692134181e-07,0.9651172550316816,0.9657319030495167,0.9659993883251952,0.9665616827006095,0.9655603716693585,0.0004791540464270563
equal_control,equal_3,rank,42:0.333333;2026:0.333333;777:0.333333,0.9657918356792858,-2.8270255775231234e-06,0.9651157801596915,0.965728581352614,0.9659959363432815,0.966558780909632,0.9655592028981419,0.0004785461509295927
equal_control,equal_5,probability,42:0.200000;2026:0.200000;777:0.200000;31415:0.200000;1234:0.200000,0.9658153443393173,2.06816344539007e-05,0.965148046187688,0.9657659183472428,0.9660200575917849,0.9665787203518142,0.9655664947467003,0.0004762992878896164
equal_control,equal_5,rank,42:0.200000;2026:0.200000;777:0.200000;31415:0.200000;1234:0.200000,0.965812669236267,1.8006531403602644e-05,0.9651460144011927,0.9657625585924012,0.9660168996708788,0.9665752438859601,0.9655650759322764,0.00047570393310033697
