band,lower,upper,rows,target_rate,local_auc,hard_positive_5_share,hard_negative_5_share
0.00-0.10,0.0,0.1,95137,0.033099635262831495,0.7336381139528423,0.033099635262831495,0.0
0.10-0.20,0.1,0.2,32998,0.1387962906842839,0.5664541294173292,0.1387962906842839,0.0
0.20-0.30,0.2,0.30000000000000004,25011,0.23661588900883612,0.5420275752414938,0.23661588900883612,0.0
0.30-0.40,0.30000000000000004,0.4,22074,0.3357796502672828,0.541609101927123,0.3357796502672828,0.0
0.40-0.50,0.4,0.5,21012,0.44660194174757284,0.5327901061787242,0.16490576813249572,0.0
0.50-0.60,0.5,0.6000000000000001,21770,0.5481396417087735,0.5318389105530854,0.0,0.0
0.60-0.70,0.6000000000000001,0.7000000000000001,24278,0.6436691654996293,0.5394007835405346,0.0,0.0
0.70-0.80,0.7000000000000001,0.8,28507,0.7573929210369383,0.5486070343878422,0.0,0.012032132458694356
0.80-0.90,0.8,0.9,40211,0.8623262291412798,0.5680802590945652,0.0,0.13767377085872026
0.90-1.00,0.9,1.0,380371,0.9890475351696107,0.8979382228728,0.0,0.010952464830389278
0.40-0.45,0.4,0.45,10562,0.42283658398030677,0.5126934380557446,0.3280628668812725,0.0
0.45-0.50,0.45,0.5,10450,0.470622009569378,0.5218801467714774,0.0,0.0
0.50-0.55,0.5,0.55,10722,0.5224771497854878,0.5123617785779633,0.0,0.0
0.55-0.60,0.55,0.6000000000000001,11048,0.5730448950036205,0.5129858772935781,0.0,0.0
0.60-0.65,0.6,0.65,11478,0.6136957658128593,0.5147996535469939,0.0,0.0
