analysis,segment,model,rows,auc
score_band,0.30-0.40,EXP-016,22074,0.541609101927123
score_band,0.30-0.40,EXP-022,22074,0.5439624684094034
score_band,0.30-0.40,EXP-030,22074,0.5513705649953038
score_band,0.40-0.45,EXP-016,10562,0.5126934380557446
score_band,0.40-0.45,EXP-022,10562,0.532419487924511
score_band,0.40-0.45,EXP-030,10562,0.5323761082568441
score_band,0.45-0.50,EXP-016,10450,0.5218801467714774
score_band,0.45-0.50,EXP-022,10450,0.5288516559500611
score_band,0.45-0.50,EXP-030,10450,0.5349238355009134
score_band,0.50-0.55,EXP-016,10722,0.5123617785779633
score_band,0.50-0.55,EXP-022,10722,0.5343289087602643
score_band,0.50-0.55,EXP-030,10722,0.5353971307680292
score_band,0.55-0.60,EXP-016,11048,0.5129858772935781
score_band,0.55-0.60,EXP-022,11048,0.5315880243349979
score_band,0.55-0.60,EXP-030,11048,0.5330407090944689
score_band,0.60-0.65,EXP-016,11478,0.5147996535469939
score_band,0.60-0.65,EXP-022,11478,0.528912535600057
score_band,0.60-0.65,EXP-030,11478,0.5321652070611251
score_band,0.65-0.75,EXP-016,26229,0.5456680875806239
score_band,0.65-0.75,EXP-022,26229,0.5401931250270887
score_band,0.65-0.75,EXP-030,26229,0.5526829974840906
region,clear_positive,EXP-016,245424,0.9740378233015573
region,clear_positive,EXP-022,245424,0.9731092145908098
region,clear_positive,EXP-030,245424,0.9742316073253372
region,clear_negative,EXP-016,154634,0.9140341872492231
region,clear_negative,EXP-022,154634,0.9123617993297517
region,clear_negative,EXP-030,154634,0.9143654257278708
region,ambiguous,EXP-016,102202,0.9280405270624151
region,ambiguous,EXP-022,102202,0.9260621245635298
region,ambiguous,EXP-030,102202,0.928386033469218
