analysis,segment,model,rows,auc
region,clear_positive,ExtraTrees,245424,0.9394113461490726
region,clear_positive,EXP-016,245424,0.9740378233015573
region,clear_negative,ExtraTrees,154634,0.8430269556248315
region,clear_negative,EXP-016,154634,0.9140341872492231
region,ambiguous,ExtraTrees,102202,0.8400209906644875
region,ambiguous,EXP-016,102202,0.9280405270624151
score_band,0.30-0.40,ExtraTrees,22074,0.48969394397653243
score_band,0.30-0.40,EXP-016,22074,0.541609101927123
score_band,0.40-0.50,ExtraTrees,21012,0.48717689222680594
score_band,0.40-0.50,EXP-016,21012,0.5327901061787242
score_band,0.50-0.60,ExtraTrees,21770,0.4807566212017981
score_band,0.50-0.60,EXP-016,21770,0.5318389105530854
score_band,0.60-0.70,ExtraTrees,24278,0.4832240453686614
score_band,0.60-0.70,EXP-016,24278,0.5394007835405346
score_band,0.70-0.80,ExtraTrees,28507,0.480384649270808
score_band,0.70-0.80,EXP-016,28507,0.5486070343878422
