feature,granularity,smoothing,model,pearson,spearman
daily_screen_time_hours,exact,1.0,EXP-016,0.7479608868225771,0.832620118972162
daily_screen_time_hours,exact,1.0,EXP-027,0.7501747435697198,0.8345424698273008
daily_screen_time_hours,exact,1.0,EXP-028,0.7502252035590748,0.8345160383611395
daily_screen_time_hours,exact,1.0,residual_027,0.010123427767544777,0.10450444250888899
daily_screen_time_hours,exact,5.0,EXP-016,0.7476821993537492,0.8255021029380848
daily_screen_time_hours,exact,5.0,EXP-027,0.7498971809762335,0.8276124913490175
daily_screen_time_hours,exact,5.0,EXP-028,0.7499478225597388,0.8275885074235128
daily_screen_time_hours,exact,5.0,residual_027,0.010121849200724054,0.11099872318844342
daily_screen_time_hours,exact,10.0,EXP-016,0.7471763119561273,0.8202784138274369
daily_screen_time_hours,exact,10.0,EXP-027,0.7493914363583477,0.8225220697962965
daily_screen_time_hours,exact,10.0,EXP-028,0.749442254301434,0.8224991328403854
daily_screen_time_hours,exact,10.0,residual_027,0.010103492663312343,0.11545157838261261
daily_screen_time_hours,exact,20.0,EXP-016,0.7460377641666049,0.813766404532825
daily_screen_time_hours,exact,20.0,EXP-027,0.7482512999649016,0.8161539407855503
daily_screen_time_hours,exact,20.0,EXP-028,0.748302403326325,0.8161322020328287
daily_screen_time_hours,exact,20.0,residual_027,0.010051966677181804,0.12051501157091807
daily_screen_time_hours,exact,50.0,EXP-016,0.7425211451262109,0.8023716344559466
daily_screen_time_hours,exact,50.0,EXP-027,0.7447259088975754,0.8049265159321608
daily_screen_time_hours,exact,50.0,EXP-028,0.7447775513052257,0.8049080962712134
daily_screen_time_hours,exact,50.0,residual_027,0.009868767534930495,0.12806684055547574
daily_screen_time_hours,exact,100.0,EXP-016,0.737082832683884,0.7917407164442404
daily_screen_time_hours,exact,100.0,EXP-027,0.7392716113864025,0.7943786165798001
daily_screen_time_hours,exact,100.0,EXP-028,0.7393236132118093,0.7943628004954759
daily_screen_time_hours,exact,100.0,residual_027,0.009571444341708394,0.133593059117614
daily_screen_time_hours,exact,200.0,EXP-016,0.7279069436611199,0.7795878916920604
daily_screen_time_hours,exact,200.0,EXP-027,0.7300680278623742,0.7822520632156604
daily_screen_time_hours,exact,200.0,EXP-028,0.7301200001137569,0.7822383819988171
daily_screen_time_hours,exact,200.0,residual_027,0.009083219124724795,0.13827730314707204
daily_screen_time_hours,round_0.1,1.0,EXP-016,0.7361275984355119,0.8361760913137289
daily_screen_time_hours,round_0.1,1.0,EXP-027,0.7386139423102247,0.8382341454599808
daily_screen_time_hours,round_0.1,1.0,EXP-028,0.7386558644185446,0.8381983590192558
daily_screen_time_hours,round_0.1,1.0,residual_027,-0.001739871636881962,0.07765629935742743
daily_screen_time_hours,round_0.1,5.0,EXP-016,0.7361124041736878,0.8349729532284936
daily_screen_time_hours,round_0.1,5.0,EXP-027,0.738599351301614,0.8370743347814799
daily_screen_time_hours,round_0.1,5.0,EXP-028,0.7386412941355311,0.8370413632199504
daily_screen_time_hours,round_0.1,5.0,residual_027,-0.0017367165919283168,0.07878423246529746
daily_screen_time_hours,round_0.1,10.0,EXP-016,0.7360841909320078,0.8337675383794171
daily_screen_time_hours,round_0.1,10.0,EXP-027,0.7385717851467732,0.8359168490390327
daily_screen_time_hours,round_0.1,10.0,EXP-028,0.7386137494463877,0.8358847488038782
daily_screen_time_hours,round_0.1,10.0,residual_027,-0.0017328177852347782,0.07989380507145277
daily_screen_time_hours,round_0.1,20.0,EXP-016,0.7360112667925294,0.8314668703194603
daily_screen_time_hours,round_0.1,20.0,EXP-027,0.7384998909615065,0.8336917090268535
daily_screen_time_hours,round_0.1,20.0,EXP-028,0.7385418881725995,0.8336609459532854
daily_screen_time_hours,round_0.1,20.0,residual_027,-0.0017253334391922465,0.08200306964362647
daily_screen_time_hours,round_0.1,50.0,EXP-016,0.7357306921997555,0.82730888120558
daily_screen_time_hours,round_0.1,50.0,EXP-027,0.7382211407154232,0.8296641208720181
daily_screen_time_hours,round_0.1,50.0,EXP-028,0.738263197033021,0.8296363073342278
daily_screen_time_hours,round_0.1,50.0,residual_027,-0.0017053576695425822,0.08562277735643332
daily_screen_time_hours,round_0.1,100.0,EXP-016,0.7351931053023567,0.8217707386520902
daily_screen_time_hours,round_0.1,100.0,EXP-027,0.7376845945253138,0.8243144877123562
daily_screen_time_hours,round_0.1,100.0,EXP-028,0.7377267020882126,0.8242862232698116
daily_screen_time_hours,round_0.1,100.0,residual_027,-0.001678329537401682,0.0902244025090804
daily_screen_time_hours,round_0.25,1.0,EXP-016,0.7339081988910968,0.8364123902796974
daily_screen_time_hours,round_0.25,1.0,EXP-027,0.7364148609054323,0.8385493724023326
daily_screen_time_hours,round_0.25,1.0,EXP-028,0.7364556474936267,0.8385155304503509
daily_screen_time_hours,round_0.25,1.0,residual_027,-0.0019170988922942466,0.07456442433051023
daily_screen_time_hours,round_0.25,5.0,EXP-016,0.7339045063787502,0.8358348666660342
daily_screen_time_hours,round_0.25,5.0,EXP-027,0.7364114731567215,0.8380047336854707
daily_screen_time_hours,round_0.25,5.0,EXP-028,0.7364522579653321,0.8379738623758006
daily_screen_time_hours,round_0.25,5.0,residual_027,-0.001916566532008865,0.07510008885112013
daily_screen_time_hours,round_0.25,10.0,EXP-016,0.7338969319222158,0.8351274409249305
daily_screen_time_hours,round_0.25,10.0,EXP-027,0.7364042595646041,0.8373281694722078
daily_screen_time_hours,round_0.25,10.0,EXP-028,0.7364450421502445,0.8372976632026154
daily_screen_time_hours,round_0.25,10.0,residual_027,-0.0019158547805463366,0.07576193818436942
daily_screen_time_hours,round_0.1,200.0,EXP-016,0.7340799967469185,0.8141689825430142
daily_screen_time_hours,round_0.1,200.0,EXP-027,0.7365708760397445,0.8169492247619682
daily_screen_time_hours,round_0.1,200.0,EXP-028,0.7366130296949968,0.8169191837497668
daily_screen_time_hours,round_0.1,200.0,residual_027,-0.0016389209415875346,0.09620183009927835
daily_screen_time_hours,round_0.25,20.0,EXP-016,0.7338762690973907,0.8340959473943975
daily_screen_time_hours,round_0.25,20.0,EXP-027,0.7363842638543665,0.8363383469150567
daily_screen_time_hours,round_0.25,20.0,EXP-028,0.7364250422129365,0.8363078196749661
daily_screen_time_hours,round_0.25,20.0,residual_027,-0.0019143487137347627,0.07670825186644462
daily_screen_time_hours,round_0.25,50.0,EXP-016,0.7337885771151202,0.8316211408804683
daily_screen_time_hours,round_0.25,50.0,EXP-027,0.736298224615771,0.8339732711612672
daily_screen_time_hours,round_0.25,50.0,EXP-028,0.7363389925637546,0.8339418717362659
daily_screen_time_hours,round_0.25,50.0,residual_027,-0.0019095935535618999,0.07893661661710896
