encoding,feature,granularity,smoothing,auc,orientation,fold_std,coverage,unseen_rate
count,daily_screen_time_hours,exact,,0.5521183739294587,1,0.001567476044062249,0.999927679719513,7.232028048697583e-05
TE,daily_screen_time_hours,exact,1.0,0.8777610741228175,1,0.0001479377887773493,0.999927679719513,7.232028048697583e-05
TE,daily_screen_time_hours,exact,5.0,0.877578159745074,1,0.00012380534791904568,0.999927679719513,7.232028048697583e-05
TE,daily_screen_time_hours,exact,10.0,0.8773125270297484,1,0.00010958433181413364,0.999927679719513,7.232028048697583e-05
TE,daily_screen_time_hours,exact,20.0,0.8767728956656247,1,9.76388078976098e-05,0.999927679719513,7.232028048697583e-05
TE,daily_screen_time_hours,exact,50.0,0.8752607643972922,1,0.00015457071540715667,0.999927679719513,7.232028048697583e-05
TE,daily_screen_time_hours,exact,100.0,0.8732020751145038,1,0.00020916189365968797,0.999927679719513,7.232028048697583e-05
TE,daily_screen_time_hours,exact,200.0,0.8701586845883271,1,0.00023722973934699854,0.999927679719513,7.232028048697583e-05
count,daily_screen_time_hours,round_0.1,,0.5756017064525673,1,0.003044021085963883,1.0,0.0
TE,daily_screen_time_hours,round_0.1,1.0,0.8680793648058356,1,0.0003036095165892586,1.0,0.0
TE,daily_screen_time_hours,round_0.1,5.0,0.8680645286442106,1,0.0002957420595405049,1.0,0.0
TE,daily_screen_time_hours,round_0.1,10.0,0.8680430330705703,1,0.00028473537921311934,1.0,0.0
TE,daily_screen_time_hours,round_0.1,20.0,0.8679920597161114,1,0.00027920803121340293,1.0,0.0
TE,daily_screen_time_hours,round_0.1,50.0,0.8678219670536618,1,0.00024889854165623815,1.0,0.0
TE,daily_screen_time_hours,round_0.1,100.0,0.8675133051634858,1,0.00021738703248476795,1.0,0.0
TE,daily_screen_time_hours,round_0.1,200.0,0.8669426989379619,1,0.00023370192617717483,1.0,0.0
count,daily_screen_time_hours,round_0.25,,0.5957674922658851,1,0.0016412300434976725,1.0,0.0
TE,daily_screen_time_hours,round_0.25,1.0,0.8669721265075712,1,0.0004354066370073153,1.0,0.0
TE,daily_screen_time_hours,round_0.25,5.0,0.8669673934096699,1,0.0004338101212089753,1.0,0.0
TE,daily_screen_time_hours,round_0.25,10.0,0.8669605348375177,1,0.00043161283894139254,1.0,0.0
TE,daily_screen_time_hours,round_0.25,20.0,0.8669414220204686,1,0.00042034179100164246,1.0,0.0
TE,daily_screen_time_hours,round_0.25,50.0,0.8668830557187112,1,0.00040428466698052114,1.0,0.0
TE,daily_screen_time_hours,round_0.25,100.0,0.8667555561775825,1,0.00037360710114427343,1.0,0.0
TE,daily_screen_time_hours,round_0.25,200.0,0.8665247854172246,1,0.00037844560485735305,1.0,0.0
count,daily_screen_time_hours,round_0.5,,0.6037787147646541,1,0.0034646755008428116,1.0,0.0
TE,daily_screen_time_hours,round_0.5,1.0,0.8657049965262453,1,0.0005013803263096567,1.0,0.0
TE,daily_screen_time_hours,round_0.5,5.0,0.8657010220210257,1,0.000501060140465814,1.0,0.0
TE,daily_screen_time_hours,round_0.5,10.0,0.8656958062967319,1,0.0004988090629505243,1.0,0.0
TE,daily_screen_time_hours,round_0.5,20.0,0.865688582093604,1,0.0004972822450613696,1.0,0.0
TE,daily_screen_time_hours,round_0.5,50.0,0.8656548513751171,1,0.0004898161313759594,1.0,0.0
TE,daily_screen_time_hours,round_0.5,100.0,0.8656025944607725,1,0.0004825616412589595,1.0,0.0
TE,daily_screen_time_hours,round_0.5,200.0,0.8654757834551285,1,0.00045913315363263637,1.0,0.0
count,daily_screen_time_hours,round_1.0,,0.6629605247183477,1,0.0015687771384524105,1.0,0.0
TE,daily_screen_time_hours,round_1.0,1.0,0.8638220529777021,1,0.0004964098338254802,1.0,0.0
TE,daily_screen_time_hours,round_1.0,5.0,0.8638209838316065,1,0.0004963494040405794,1.0,0.0
TE,daily_screen_time_hours,round_1.0,10.0,0.8638176638024839,1,0.000497140645185919,1.0,0.0
TE,daily_screen_time_hours,round_1.0,20.0,0.8638117486428897,1,0.000491615407237865,1.0,0.0
TE,daily_screen_time_hours,round_1.0,50.0,0.8638014245585038,1,0.00048958921366332,1.0,0.0
TE,daily_screen_time_hours,round_1.0,100.0,0.8637352542930193,1,0.0004893792837848404,1.0,0.0
TE,daily_screen_time_hours,round_1.0,200.0,0.8636583494849043,1,0.0004725263853558789,1.0,0.0
count,social_media_hours,exact,,0.5311284707245705,-1,0.0015924929940338115,0.9999638398597566,3.616014024348792e-05
TE,social_media_hours,exact,1.0,0.824098993244258,1,0.0013142546328296617,0.9999638398597566,3.616014024348792e-05
TE,social_media_hours,exact,5.0,0.8240151435281117,1,0.0013232375372800329,0.9999638398597566,3.616014024348792e-05
TE,social_media_hours,exact,10.0,0.8239049021404768,1,0.0013290892136010716,0.9999638398597566,3.616014024348792e-05
TE,social_media_hours,exact,20.0,0.8236918480565951,1,0.001338241253566486,0.9999638398597566,3.616014024348792e-05
TE,social_media_hours,exact,50.0,0.8230632020163509,1,0.0013534425575830742,0.9999638398597566,3.616014024348792e-05
TE,social_media_hours,exact,100.0,0.8220387869283388,1,0.0013500447331852054,0.9999638398597566,3.616014024348792e-05
TE,social_media_hours,exact,200.0,0.8202177898093086,1,0.001356172671710537,0.9999638398597566,3.616014024348792e-05
count,social_media_hours,round_0.1,,0.5562362234198568,-1,0.0016706076976709544,0.9999971071887805,2.8928112194790338e-06
TE,social_media_hours,round_0.1,1.0,0.8191272204756993,1,0.0012007605124019006,0.9999971071887805,2.8928112194790338e-06
TE,social_media_hours,round_0.1,5.0,0.8191193060219387,1,0.001200827272999931,0.9999971071887805,2.8928112194790338e-06
TE,social_media_hours,round_0.1,10.0,0.81910917218704,1,0.001202276791587483,0.9999971071887805,2.8928112194790338e-06
TE,social_media_hours,round_0.1,20.0,0.8190887891354856,1,0.0012037778257001793,0.9999971071887805,2.8928112194790338e-06
TE,social_media_hours,round_0.1,50.0,0.8190321348152423,1,0.0012078942678422995,0.9999971071887805,2.8928112194790338e-06
TE,social_media_hours,round_0.1,100.0,0.8189190942046797,1,0.001209132729463425,0.9999971071887805,2.8928112194790338e-06
TE,social_media_hours,round_0.1,200.0,0.8187071167262646,1,0.0012129885997269226,0.9999971071887805,2.8928112194790338e-06
count,social_media_hours,round_0.25,,0.5643477284266005,-1,0.0021650104585489664,1.0,0.0
TE,social_media_hours,round_0.25,1.0,0.8179989124324035,1,0.0011859038697890577,1.0,0.0
TE,social_media_hours,round_0.25,5.0,0.8179953428238835,1,0.00118607411450916,1.0,0.0
TE,social_media_hours,round_0.25,10.0,0.8179913791271404,1,0.0011865135330246925,1.0,0.0
TE,social_media_hours,round_0.25,20.0,0.8179828245578409,1,0.0011864873326183827,1.0,0.0
TE,social_media_hours,round_0.25,50.0,0.8179593919935445,1,0.001187698983888771,1.0,0.0
TE,social_media_hours,round_0.25,100.0,0.817909562297703,1,0.0011902475740985616,1.0,0.0
TE,social_media_hours,round_0.25,200.0,0.8178238381075356,1,0.001188160256672686,1.0,0.0
count,social_media_hours,round_0.5,,0.5625743009103449,-1,0.0017146756350527798,1.0,0.0
TE,social_media_hours,round_0.5,1.0,0.8150362340738281,1,0.001161791194048041,1.0,0.0
TE,social_media_hours,round_0.5,5.0,0.81503489552772,1,0.0011613623010088652,1.0,0.0
