feature,unique_values,cardinality_ratio,median_frequency,mean_frequency,max_frequency,test_seen_rate,test_unseen_rate,mean_train_frequency_for_test_values,rows_value_freq_ge_2,rows_value_freq_ge_5,rows_value_freq_ge_10,rows_value_freq_ge_20,rows_value_freq_ge_50,rows_value_freq_ge_100
daily_screen_time_hours,1390,0.0020105037975379283,236.0,497.3877697841727,95854,0.9999696255847075,3.0374415292522272e-05,11505.391598856537,0.9999378045587812,0.999655755464882,0.9991625311519609,0.9978029098788057,0.992370210408624,0.977794781079279
social_media_hours,722,0.001044304850231931,712.5,957.5747922437673,133995,0.9999696255847075,3.0374415292522272e-05,22506.697377258322,0.9999754111046344,0.9998683770895137,0.9996629874929307,0.9993592423148854,0.9972908822929579,0.9942722337854315
weekend_screen_time,1438,0.002079931266805425,228.0,480.7851182197497,112063,0.99991900155922,8.099844078002238e-05,19920.83692680523,0.9999479293980493,0.9997801463473196,0.9992854756287887,0.9977826602002693,0.9907574681537645,0.977710889553914
work_study_hours,601,0.0008692897714534496,1065.0,1150.3643926788686,51518,0.9999898751949025,1.0124805097544431e-05,6247.055794990871,1.0,1.0,0.9999508222092689,0.9998119672707338,0.999250761894155,0.9967383553500374
gaming_hours,402,0.0005814550551152857,1527.0,1719.823383084577,126821,1.0,0.0,26926.383426369044,1.0,0.9999971071887805,0.9999840895382929,0.9999840895382929,0.9999175548802448,0.999378045587812
sleep_hours,452,0.0006537753356022616,1297.5,1529.5774336283187,44480,1.0,0.0,5218.138865076848,1.0,1.0,1.0,1.0,0.9999696254821955,0.9995154541207373
notifications_per_day,232,0.0003355661014595679,2194.5,2980.0387931034484,67584,1.0,0.0,11175.12503121815,1.0,1.0,1.0,1.0,1.0,1.0
app_opens_per_day,167,0.0002415497368264993,3369.0,4139.934131736527,80710,1.0,0.0,11207.335590039891,1.0,1.0,1.0,1.0,1.0,1.0
age,19,2.7481706585050818e-05,37303.0,36387.84210526316,43607,1.0,0.0,36567.99563283407,1.0,1.0,1.0,1.0,1.0,1.0
gender,4,5.7856224389580675e-06,219336.5,172842.25,223662,1.0,0.0,211614.92406733672,1.0,1.0,1.0,1.0,1.0,1.0
stress_level,4,5.7856224389580675e-06,207674.0,172842.25,220873,1.0,0.0,201830.9319275604,1.0,1.0,1.0,1.0,1.0,1.0
academic_work_impact,3,4.3392168292185504e-06,316579.0,230456.33333333334,330566,1.0,0.0,299483.8404094471,1.0,1.0,1.0,1.0,1.0,1.0
