candidate,fold,choice_type,method,weight,C,selection_auc,auc,std,folds,improved_folds
EXP-027,1,blend,rank,0.2,,0.9669669374621317,,,,
EXP-027,2,blend,rank,0.2,,0.9668223612318241,,,,
EXP-027,3,blend,rank,0.2,,0.9667630383873846,,,,
EXP-027,4,blend,rank,0.2,,0.9666161185511587,,,,
EXP-027,5,blend,rank,0.2,,0.9668803386590381,,,,
EXP-027,0,result,,,,,0.9668097848980569,0.00047227490353350817,"[0.9661771473162213, 0.9667598068752938, 0.9669980399311531, 0.9675831247958088, 0.966528722408919]",5.0
EXP-028,1,blend,rank,0.2,,0.9669722774644284,,,,
EXP-028,2,blend,rank,0.2,,0.966828007744027,,,,
EXP-028,3,blend,rank,0.2,,0.9667687644884553,,,,
EXP-028,4,blend,rank,0.2,,0.9666242279495074,,,,
EXP-028,5,blend,rank,0.2,,0.966889876374951,,,,
EXP-028,0,result,,,,,0.9668166410547937,0.00047073669128922245,"[0.9661909538484176, 0.9667721078354291, 0.9670090833301292, 0.9675860245570297, 0.9665242156687174]",5.0
TRIPLE,1,blend,probability,0.1,,0.9666321703365087,,,,
TRIPLE,2,blend,probability,0.1,,0.9664758048208654,,,,
TRIPLE,3,blend,probability,0.1,,0.9664125533960325,,,,
TRIPLE,4,blend,probability,0.1,,0.9662700287000046,,,,
TRIPLE,5,blend,probability,0.1,,0.9665284412317827,,,,
TRIPLE,0,result,,,,,0.9664638206663365,0.00048268522333298113,"[0.9657870275636056, 0.9664172650012124, 0.9666710036225181, 0.9672355720866386, 0.9662065575305985]",5.0
