variant,C,fold,auc,n_columns,train_nnz,valid_nnz,test_nnz,sparse_memory_mb,peak_rss_gb,iterations,seconds
A,1.0,1,0.9593631242937231,203239,7190235,1771972,3793090,56.96703338623047,0.8891525268554688,15,31.84954750002362
A,1.0,2,0.9597689693329522,203022,7190235,1771692,3793103,56.96703338623047,0.8991432189941406,14,25.310531799914315
A,1.0,3,0.960162091349504,203101,7190235,1771788,3793208,56.96703338623047,0.9023323059082031,14,25.060291700065136
A,1.0,4,0.960606840482424,203120,7190235,1771862,3793164,56.96703338623047,0.9045448303222656,14,25.97022939985618
A,1.0,5,0.9594991405041944,203182,7190248,1771800,3793049,56.96713638305664,0.9067344665527344,14,25.125208199955523
A,0.1,1,0.957279574434504,203239,7190235,1771972,3793090,56.96703338623047,0.9090156555175781,11,15.794271300081164
A,0.1,2,0.9579838746508706,203022,7190235,1771692,3793103,56.96703338623047,0.9174041748046875,11,15.57921849982813
A,0.1,3,0.958323116013635,203101,7190235,1771788,3793208,56.96703338623047,0.9196014404296875,11,16.26932860002853
A,0.1,4,0.9585095798701544,203120,7190235,1771862,3793164,56.96703338623047,0.9218101501464844,11,15.458646500017494
A,0.1,5,0.9574012503397511,203182,7190248,1771800,3793049,56.96713638305664,0.9240188598632812,11,15.053188799880445
A,0.3,1,0.9590446544465442,203239,7190235,1771972,3793090,56.96703338623047,0.9261894226074219,12,18.624463099986315
A,0.3,2,0.9595699029705618,203022,7190235,1771692,3793103,56.96703338623047,0.9345779418945312,12,19.06539210001938
A,0.3,3,0.9599514401505274,203101,7190235,1771788,3793208,56.96703338623047,0.9367904663085938,12,19.861809599911794
A,0.3,4,0.9602605726092694,203120,7190235,1771862,3793164,56.96703338623047,0.9391555786132812,12,18.452608899911866
A,0.3,5,0.959165425304266,203182,7190248,1771800,3793049,56.96713638305664,0.9413642883300781,13,20.197453000117093
A,3.0,1,0.9577829886115639,203239,7190235,1771972,3793090,56.96703338623047,0.9425430297851562,18,36.56433949992061
A,3.0,2,0.9580690673469872,203022,7190235,1771692,3793103,56.96703338623047,0.9489936828613281,18,36.230960899963975
A,3.0,3,0.9585355592340923,203101,7190235,1771788,3793208,56.96703338623047,0.9512748718261719,18,35.37030950002372
A,3.0,4,0.9590565384185298,203120,7190235,1771862,3793164,56.96703338623047,0.9534835815429688,18,36.28473159996793
A,3.0,5,0.9579396741754482,203182,7190248,1771800,3793049,56.96713638305664,0.9556922912597656,18,36.56135269999504
B,1.0,1,0.9595882324350711,224565,8296425,2047844,4384240,65.4065933227539,1.1099586486816406,14,28.597204399993643
B,1.0,2,0.9598560712690012,224347,8296425,2047568,4384275,65.4065933227539,1.11834716796875,14,28.139916399959475
B,1.0,3,0.9601147812719995,224462,8296425,2047715,4384400,65.4065933227539,1.1205902099609375,14,28.23456469993107
B,1.0,4,0.9606400554216958,224469,8296425,2047768,4384353,65.4065933227539,1.1227989196777344,15,34.60228130011819
B,1.0,5,0.9594788929668792,224543,8296440,2047711,4384256,65.40671157836914,1.1249465942382812,15,34.688955900026485
C,1.0,1,0.9628866835488893,225692,10508805,2600887,5569348,82.28571319580078,1.3188552856445312,11,37.21744419983588
C,1.0,2,0.9633697593097079,225469,10508805,2600609,5569384,82.28571319580078,1.3272438049316406,11,36.34023179998621
C,1.0,3,0.9634374859490884,225592,10508805,2600766,5569511,82.28571319580078,1.3294525146484375,12,35.453907600138336
C,1.0,4,0.9640121511843858,225589,10508805,2600803,5569465,82.28571319580078,1.3316612243652344,11,33.126807199791074
C,1.0,5,0.9628705345950106,225679,10508824,2600762,5569369,82.28586196899414,1.3338775634765625,11,34.185850200010464
