candidate,fold,method,logistic_weight,selection_auc,auc,std,folds,improved_folds
EXP-027,1,rank,0.3,0.9671889216758678,,,,
EXP-027,2,rank,0.3,0.9670478393238968,,,,
EXP-027,3,rank,0.3,0.9669913938176136,,,,
EXP-027,4,rank,0.3,0.9668427065265592,,,,
EXP-027,5,rank,0.3,0.9671131024719353,,,,
EXP-027,0,,,,0.9670368278351087,0.00046931585041343714,"[0.9664253090540277, 0.9669934261672262, 0.9672196165494952, 0.9678108906498863, 0.966732091011]",5.0
EXP-028,1,rank,0.3,0.9671923541221916,,,,
EXP-028,2,rank,0.3,0.9670514934265646,,,,
EXP-028,3,rank,0.3,0.966995126232619,,,,
EXP-028,4,rank,0.3,0.9668485809429668,,,,
EXP-028,5,rank,0.3,0.9671203736393711,,,,
EXP-028,0,,,,0.9670416065874067,0.0004679458331062168,"[0.966436151253367, 0.9670027800474369, 0.9672284364768238, 0.967811718663776, 0.9667272733342683]",5.0
