candidate,fold,method,logistic_weight,selection_auc,auc,std,folds,improved_folds,catboost_weight
EXP-027,1,rank,0.375,0.9672123296831087,,,,,
EXP-027,2,rank,0.375,0.9670803407358607,,,,,
EXP-027,3,rank,0.375,0.967022473658865,,,,,
EXP-027,4,rank,0.375,0.9668776056027097,,,,,
EXP-027,5,rank,0.375,0.9671488011277978,,,,,
EXP-027,0,,,,0.967068329297671,0.00045871726658559277,"[0.9664896281124231, 0.9670208381588421, 0.9672535861776945, 0.9678284477919564, 0.9667476153830952]",5.0,
EXP-028,1,rank,0.375,0.967214888729225,,,,,
EXP-028,2,rank,0.375,0.9670833238277838,,,,,
EXP-028,3,rank,0.375,0.9670251440802374,,,,,
EXP-028,4,rank,0.375,0.9668826494500578,,,,,
EXP-028,5,rank,0.375,0.9671549159681914,,,,,
EXP-028,0,,,,0.9670722032637601,0.00045766739264754293,"[0.9664992381225623, 0.9670279246739159, 0.9672617517621944, 0.9678285746517526, 0.9667420189061355]",5.0,
TRIPLE,1,rank,0.35,0.9672064230838745,,,,,0.05
TRIPLE,2,rank,0.35,0.9670726040208278,,,,,0.05
TRIPLE,3,rank,0.35,0.9670132144083219,,,,,0.05
TRIPLE,4,rank,0.35,0.9668683278623045,,,,,0.05
TRIPLE,5,rank,0.35,0.9671382428168962,,,,,0.05
TRIPLE,0,,,,0.967059802657881,0.00046157236087405654,"[0.9664698575206294, 0.9670084423075791, 0.9672476783169869, 0.9678224640690907, 0.9667473535418066]",,
