stage,feature,method,parameter,auc,delta,folds_improved,std,folds,train_cardinality,test_cardinality
top_ratio,work_over_screen,round,1.0,0.9634238633487489,-0.0001514305943988159,0,0.00044636027442891826,"[0.9629339849999276, 0.9634575432440211, 0.963583160321626, 0.9641569603731137, 0.962985381178092]",11,11
top_ratio,work_over_screen,round,2.0,0.9635752939431477,0.0,0,0.0004410103652178554,"[0.9631281469625983, 0.9635892353835451, 0.9636895096796695, 0.964329155800919, 0.9631382997889956]",93,93
top_ratio,work_over_screen,round,3.0,0.9633646766379427,-0.00021061730520499644,0,0.00045870217793452845,"[0.9629028104736173, 0.9633749052504798, 0.9635121036125964, 0.9641371725283879, 0.9628954975590194]",867,845
top_ratio,work_over_screen,step,0.01,0.963576382087805,1.0881446573796083e-06,4,0.00044161183448379355,"[0.9631288665113621, 0.96358900830451, 0.963690744786645, 0.9643317257266697, 0.9631392852459382]",93,93
top_ratio,work_over_screen,step,0.02,0.9635778328187968,2.5388756491606657e-06,2,0.00044292635450373535,"[0.9631296789214967, 0.9635884376891468, 0.9637165983056648, 0.9643252434448051, 0.9631282929862626]",48,49
top_ratio,work_over_screen,step,0.025,0.9635671573625055,-8.136580642137403e-06,1,0.0004448799391630313,"[0.9631181410230353, 0.9635752001231361, 0.9637082628558977, 0.9643178005805639, 0.9631149020371081]",39,39
top_ratio,work_over_screen,step,0.05,0.9635557503296501,-1.95436134975413e-05,2,0.0004392800539423046,"[0.963098840573646, 0.9635904709979597, 0.9636906592831423, 0.9642880527195213, 0.963108093148717]",21,21
top_ratio,work_over_screen,step,0.1,0.9634235259010032,-0.00015176804214445117,0,0.0004454575738419543,"[0.9629349788195709, 0.9634563274197347, 0.9635838151718941, 0.9641547722953494, 0.9629853532686523]",11,11
top_ratio,social_over_screen,round,1.0,0.9634388441511339,-0.00013644979201377083,0,0.00043523053727574185,"[0.9629786454837296, 0.9634619711583468, 0.9635866502346186, 0.9641624617750343, 0.9630037103220128]",11,11
top_ratio,social_over_screen,round,2.0,0.9635752939431477,0.0,0,0.0004410103652178554,"[0.9631281469625983, 0.9635892353835451, 0.9636895096796695, 0.964329155800919, 0.9631382997889956]",91,90
top_ratio,social_over_screen,round,3.0,0.9633886239394486,-0.00018667000369909648,0,0.00043217317118056256,"[0.9630090291660707, 0.9633535024805486, 0.96347044590017, 0.9641566569244814, 0.9629504745881726]",846,828
top_ratio,social_over_screen,step,0.01,0.9635753315647655,3.762161782105977e-08,2,0.0004405271188744866,"[0.963127234079505, 0.9635893769590775, 0.9636894335637918, 0.9643283641957907, 0.963140296582543]",91,90
top_ratio,social_over_screen,step,0.02,0.9635846282755347,9.334332387034294e-06,3,0.0004558862554961219,"[0.9631216301748691, 0.9635984672246318, 0.9637034036182653, 0.9643636598894396, 0.9631334009211665]",46,46
top_ratio,social_over_screen,step,0.025,0.9635726703351308,-2.6236080168384746e-06,2,0.0004476566706354547,"[0.9631150456440087, 0.963592502277016, 0.9636866388424822, 0.9643369427089274, 0.9631310052763542]",37,37
top_ratio,social_over_screen,step,0.05,0.9635287190196167,-4.657492353099535e-05,0,0.0004324946404444807,"[0.9630780764159292, 0.9635254109514948, 0.9636377861498562, 0.9642749663703878, 0.9631245046604103]",20,20
top_ratio,social_over_screen,step,0.1,0.9634379426835845,-0.00013735125956315652,0,0.00043448269481935833,"[0.9629782905300197, 0.9634635112362722, 0.9635855001237066, 0.9641592816536639, 0.9630022372110425]",11,11
top_ratio,gaming_over_screen,round,1.0,0.9634332869398703,-0.00014200700327737792,0,0.00043696937817480874,"[0.9630175972767039, 0.9634140404827192, 0.963540754897561, 0.9641945618704176, 0.9629968750465152]",10,10
top_ratio,gaming_over_screen,round,2.0,0.9635752939431477,0.0,0,0.0004410103652178554,"[0.9631281469625983, 0.9635892353835451, 0.9636895096796695, 0.964329155800919, 0.9631382997889956]",81,79
top_ratio,gaming_over_screen,round,3.0,0.9634311175517427,-0.00014417639140495986,0,0.00043048745280110197,"[0.963022444082076, 0.9634469367501832, 0.9634960426549622, 0.9641868216468142, 0.9630021311551717]",733,692
top_ratio,gaming_over_screen,step,0.01,0.9635751403612909,-1.5358185678771008e-07,2,0.0004409041377397187,"[0.9631263047046383, 0.9635885171033792, 0.963689660642827, 0.9643288074439187, 0.9631401438417913]",81,79
top_ratio,gaming_over_screen,step,0.02,0.9635800479780323,4.75403488464643e-06,3,0.0004418523355091632,"[0.9631542879459163, 0.9635706839143926, 0.9637012896266222, 0.9643403742664137, 0.96313058790337]",42,42
top_ratio,gaming_over_screen,step,0.025,0.9635688233090429,-6.470634104749351e-06,2,0.0004371766355486291,"[0.9631132036397685, 0.9635995993214529, 0.9636743509489059, 0.9643128685254085, 0.96314180775184]",34,34
top_ratio,gaming_over_screen,step,0.05,0.9635278875483708,-4.7406394776849936e-05,0,0.0004475581852590787,"[0.9630854007931207, 0.9635246837911431, 0.9636520182966688, 0.9642956138170926, 0.9630796402361386]",18,18
top_ratio,gaming_over_screen,step,0.1,0.9634314811834038,-0.00014381275974384433,0,0.0004376749925423762,"[0.9630145186431704, 0.9634091520673336, 0.9635414016288018, 0.964193944824369, 0.9629955810634031]",10,10
