candidate,fold,method,lgbm_weight,selection_auc,auc,std,folds,exp027_weight,exp037_weight,catboost_weight
EXP027_EXP039,1,probability,0.4,0.966927116197488,,,,,,
EXP027_EXP039,2,probability,0.4,0.9667658865477132,,,,,,
EXP027_EXP039,3,probability,0.4,0.9667048254421308,,,,,,
EXP027_EXP039,4,probability,0.4,0.96656807651291,,,,,,
EXP027_EXP039,5,probability,0.4,0.9668026563403604,,,,,,
EXP027_EXP039,0,,,,0.9667536703267516,0.0004712389142064,"[0.9660594117840327, 0.9667061206975739, 0.9669525341805294, 0.9674944239188888, 0.9665592115688435]",,,
TRIPLE,1,rank,0.3,0.96758943929139,,,,0.4375,0.2624999999999999,
TRIPLE,2,rank,0.3,0.9674458831036592,,,,0.4375,0.2624999999999999,
TRIPLE,3,rank,0.3,0.9673920118349916,,,,0.4375,0.2624999999999999,
TRIPLE,4,rank,0.3,0.967255971522612,,,,0.4375,0.2624999999999999,
TRIPLE,5,rank,0.3,0.967504830545118,,,,0.4375,0.2624999999999999,
TRIPLE,0,,,,0.9674375980918924,0.0004482684977822,"[0.9668275590134929, 0.9674059697842724, 0.9676223815597332, 0.968163186139396, 0.9671712273956496]",,,
REFINED_TRIPLE,1,rank,0.4,,,,,0.375,0.225,0.0
REFINED_TRIPLE,2,rank,0.4,,,,,0.375,0.225,0.0
REFINED_TRIPLE,3,rank,0.4,,,,,0.375,0.225,0.0
REFINED_TRIPLE,4,rank,0.4,,,,,0.375,0.225,0.0
REFINED_TRIPLE,5,rank,0.4,,,,,0.375,0.225,0.0
REFINED_TRIPLE,0,,,,0.9674680607837304,0.0004452548925233985,"[0.9668479888956474, 0.967439309426724, 0.9676534694408027, 0.9681823431103556, 0.9672203307563628]",,,0.0
REFINED_WITH_CATBOOST,1,rank,0.4,,,,,0.375,0.225,0.0
REFINED_WITH_CATBOOST,2,rank,0.4,,,,,0.375,0.225,0.0
REFINED_WITH_CATBOOST,3,rank,0.4,,,,,0.375,0.225,0.0
REFINED_WITH_CATBOOST,4,rank,0.4,,,,,0.375,0.225,0.0
REFINED_WITH_CATBOOST,5,rank,0.4,,,,,0.375,0.225,0.0
REFINED_WITH_CATBOOST,0,,,,0.9674680607837304,0.0004452548925233985,"[0.9668479888956474, 0.967439309426724, 0.9676534694408027, 0.9681823431103556, 0.9672203307563628]",,,0.0
