label,fold,auc,best_iteration,seconds,rss_gb,raw_cats,rel_cats,max_bin,cat_smooth,min_data_per_group,cardinalities
EXP039_REPRO,1,0.966014868138103,9888,232.54924479988404,0.58062744140625,,,4095,10,100,{}
EXP039_REPRO,2,0.9666486808653453,9861,215.41634780005552,0.5931625366210938,,,4095,10,100,{}
EXP039_REPRO,3,0.9668764530624125,9026,200.30723349982873,0.5811424255371094,,,4095,10,100,{}
EXP039_REPRO,4,0.9673174976355648,9567,211.54585130000487,0.593353271484375,,,4095,10,100,{}
EXP039_REPRO,5,0.9665684891740347,9995,217.1510210998822,0.5942192077636719,,,4095,10,100,{}
raw_screen_cat,1,0.9617656502975678,3972,106.46195239992812,0.5989799499511719,screen_cat,,4095,10,100,"{""screen_cat"": 1381}"
raw_screen_cat,2,0.9621467800038682,4003,106.76086989999749,0.5902671813964844,screen_cat,,4095,10,100,"{""screen_cat"": 1382}"
raw_screen_cat,3,0.9627960876403342,4424,118.34015759988688,0.6037216186523438,screen_cat,,4095,10,100,"{""screen_cat"": 1381}"
raw_social_cat,1,0.961239902707112,4361,114.63407619995996,0.5966949462890625,social_cat,,4095,10,100,"{""social_cat"": 721}"
raw_social_cat,2,0.9620048932842646,4388,115.15548050007783,0.5898628234863281,social_cat,,4095,10,100,"{""social_cat"": 720}"
raw_social_cat,3,0.9622471612428007,4070,108.47630489990115,0.5968360900878906,social_cat,,4095,10,100,"{""social_cat"": 720}"
raw_weekend_cat,1,0.9617570514868641,3493,96.88728610007092,0.6027030944824219,weekend_cat,,4095,10,100,"{""weekend_cat"": 1430}"
raw_weekend_cat,2,0.962124197184113,3768,102.24543639994226,0.5955886840820312,weekend_cat,,4095,10,100,"{""weekend_cat"": 1431}"
raw_weekend_cat,3,0.9629435403334947,3760,101.91813939996064,0.6057243347167969,weekend_cat,,4095,10,100,"{""weekend_cat"": 1430}"
raw_work_cat,1,0.9603755267404268,3908,105.22591620008461,0.6096611022949219,work_cat,,4095,10,100,"{""work_cat"": 602}"
raw_work_cat,2,0.9608599678932318,4334,113.71636170009151,0.59954833984375,work_cat,,4095,10,100,"{""work_cat"": 602}"
raw_work_cat,3,0.9614121946752221,4358,114.78182890010066,0.6101493835449219,work_cat,,4095,10,100,"{""work_cat"": 602}"
raw_gaming_cat,1,0.961471840726166,5073,129.9140884000808,0.61566162109375,gaming_cat,,4095,10,100,"{""gaming_cat"": 403}"
raw_gaming_cat,2,0.9617226878321377,4842,124.08521430008113,0.6082839965820312,gaming_cat,,4095,10,100,"{""gaming_cat"": 403}"
raw_gaming_cat,3,0.9622027265694362,4758,123.95835319999605,0.6127281188964844,gaming_cat,,4095,10,100,"{""gaming_cat"": 403}"
raw_sleep_cat,1,0.9604773842468076,4744,123.75501299998723,0.619049072265625,sleep_cat,,4095,10,100,"{""sleep_cat"": 453}"
raw_sleep_cat,2,0.9610997412807364,4472,117.37926400010474,0.6107673645019531,sleep_cat,,4095,10,100,"{""sleep_cat"": 453}"
raw_sleep_cat,3,0.9614431499878047,4339,113.95104680000804,0.6222953796386719,sleep_cat,,4095,10,100,"{""sleep_cat"": 453}"
raw_notifications_cat,1,0.9632477867871871,4599,118.49293949990533,0.6206855773925781,notifications_cat,,4095,10,100,"{""notifications_cat"": 233}"
raw_notifications_cat,2,0.9641110982733225,4954,127.55408860021271,0.619842529296875,notifications_cat,,4095,10,100,"{""notifications_cat"": 233}"
raw_notifications_cat,3,0.964243845632631,4395,114.53731220006011,0.6236228942871094,notifications_cat,,4095,10,100,"{""notifications_cat"": 233}"
raw_appopens_cat,1,0.9636218885876395,5976,149.44865639996715,0.6332435607910156,appopens_cat,,4095,10,100,"{""appopens_cat"": 168}"
raw_appopens_cat,2,0.9644661704700509,6355,156.72728270012885,0.6279449462890625,appopens_cat,,4095,10,100,"{""appopens_cat"": 168}"
raw_appopens_cat,3,0.9642206541395738,4783,121.92854699981399,0.6329841613769531,appopens_cat,,4095,10,100,"{""appopens_cat"": 168}"
raw_age_cat,1,0.9656131572059115,8449,194.04818679997697,0.6421737670898438,age_cat,,4095,10,100,"{""age_cat"": 20}"
raw_age_cat,2,0.9663265876486682,9427,216.497736700112,0.6410026550292969,age_cat,,4095,10,100,"{""age_cat"": 20}"
raw_age_cat,3,0.9666433387993287,9049,208.73579950002022,0.6577835083007812,age_cat,,4095,10,100,"{""age_cat"": 20}"
rawset_TOP2,1,0.9634850102927887,5717,146.96213849983178,0.6447868347167969,age_cat+appopens_cat,,4095,10,100,"{""age_cat"": 20, ""appopens_cat"": 168}"
rawset_TOP2,2,0.9643545247155175,5991,152.66928790020756,0.6423568725585938,age_cat+appopens_cat,,4095,10,100,"{""age_cat"": 20, ""appopens_cat"": 168}"
rawset_TOP2,3,0.9641181189481622,5599,143.36382129997946,0.6479682922363281,age_cat+appopens_cat,,4095,10,100,"{""age_cat"": 20, ""appopens_cat"": 168}"
rawset_TOP3,1,0.9630791962073497,2956,90.95865459996276,0.6450271606445312,age_cat+appopens_cat+notifications_cat,,4095,10,100,"{""age_cat"": 20, ""appopens_cat"": 168, ""notifications_cat"": 233}"
rawset_TOP3,2,0.9638496214581701,2161,68.91359389992431,0.65362548828125,age_cat+appopens_cat+notifications_cat,,4095,10,100,"{""age_cat"": 20, ""appopens_cat"": 168, ""notifications_cat"": 233}"
rawset_TOP3,3,0.9639109239174726,2181,69.29773980006576,0.646484375,age_cat+appopens_cat+notifications_cat,,4095,10,100,"{""age_cat"": 20, ""appopens_cat"": 168, ""notifications_cat"": 233}"
rawset_TOP5,1,0.9650632966128392,1096,46.92463510017842,0.6643867492675781,age_cat+appopens_cat+notifications_cat+weekend_cat+screen_cat,,4095,10,100,"{""age_cat"": 20, ""appopens_cat"": 168, ""notifications_cat"": 233, ""screen_cat"": 1381, ""weekend_cat"": 1430}"
rawset_TOP5,2,0.9657978138177747,1051,46.1726957000792,0.7010459899902344,age_cat+appopens_cat+notifications_cat+weekend_cat+screen_cat,,4095,10,100,"{""age_cat"": 20, ""appopens_cat"": 168, ""notifications_cat"": 233, ""screen_cat"": 1382, ""weekend_cat"": 1431}"
rawset_TOP5,3,0.9661032003604555,1188,49.322171499952674,0.6637840270996094,age_cat+appopens_cat+notifications_cat+weekend_cat+screen_cat,,4095,10,100,"{""age_cat"": 20, ""appopens_cat"": 168, ""notifications_cat"": 233, ""screen_cat"": 1381, ""weekend_cat"": 1430}"
rel_social_over_screen_cat,1,0.9648501524920083,9281,216.71113930013962,0.6818618774414062,,social_over_screen_cat,4095,10,100,"{""social_over_screen_cat"": 92}"
rel_social_over_screen_cat,2,0.9655597645817601,8997,210.21111080003902,0.6763458251953125,,social_over_screen_cat,4095,10,100,"{""social_over_screen_cat"": 90}"
rel_social_over_screen_cat,3,0.9658821787537214,8863,208.3595089998562,0.6745643615722656,,social_over_screen_cat,4095,10,100,"{""social_over_screen_cat"": 92}"
rel_gaming_over_screen_cat,1,0.9650154407844913,9384,218.71530629997142,0.6787147521972656,,gaming_over_screen_cat,4095,10,100,"{""gaming_over_screen_cat"": 81}"
rel_gaming_over_screen_cat,2,0.9655458566885864,7450,176.58561579999514,0.6716232299804688,,gaming_over_screen_cat,4095,10,100,"{""gaming_over_screen_cat"": 82}"
rel_gaming_over_screen_cat,3,0.9660746529736638,8620,200.3258251999505,0.6787528991699219,,gaming_over_screen_cat,4095,10,100,"{""gaming_over_screen_cat"": 82}"
rel_work_over_screen_cat,1,0.9646219318455614,8658,202.89569650008343,0.685089111328125,,work_over_screen_cat,4095,10,100,"{""work_over_screen_cat"": 93}"
rel_work_over_screen_cat,2,0.9654296975162251,8481,201.65483299992047,0.6671218872070312,,work_over_screen_cat,4095,10,100,"{""work_over_screen_cat"": 94}"
rel_work_over_screen_cat,3,0.9656422379112862,8425,198.23736909986474,0.67559814453125,,work_over_screen_cat,4095,10,100,"{""work_over_screen_cat"": 94}"
rel_work_over_social_cat,1,0.9616160059745686,6069,153.96030610008165,0.6882972717285156,,work_over_social_cat,4095,10,100,"{""work_over_social_cat"": 2975}"
rel_work_over_social_cat,2,0.9624036610691848,5410,138.80851210001856,0.6705360412597656,,work_over_social_cat,4095,10,100,"{""work_over_social_cat"": 2989}"
rel_work_over_social_cat,3,0.9627985784055719,4314,114.05982959992252,0.6768341064453125,,work_over_social_cat,4095,10,100,"{""work_over_social_cat"": 2975}"
rel_gaming_over_social_cat,1,0.962358897955808,5994,149.30443980009295,0.6822700500488281,,gaming_over_social_cat,4095,10,100,"{""gaming_over_social_cat"": 2082}"
rel_gaming_over_social_cat,2,0.9628367860389819,5609,140.83189839986153,0.6738319396972656,,gaming_over_social_cat,4095,10,100,"{""gaming_over_social_cat"": 2070}"
rel_gaming_over_social_cat,3,0.9635361630803789,5374,136.56154379993677,0.6812286376953125,,gaming_over_social_cat,4095,10,100,"{""gaming_over_social_cat"": 2084}"
rel_screen_minus_social_cat,1,0.9645573235468307,8463,199.11065710010007,0.6912879943847656,,screen_minus_social_cat,4095,10,100,"{""screen_minus_social_cat"": 141}"
rel_screen_minus_social_cat,2,0.9653039540862631,7954,187.9744046998676,0.6841316223144531,,screen_minus_social_cat,4095,10,100,"{""screen_minus_social_cat"": 142}"
rel_screen_minus_social_cat,3,0.9653998210193491,8406,198.54866870003752,0.69287109375,,screen_minus_social_cat,4095,10,100,"{""screen_minus_social_cat"": 140}"
DUAL-A,1,0.9656131572059115,8449,194.96455179993063,0.6925392150878906,age_cat,,4095,10,100,"{""age_cat"": 20}"
DUAL-A,2,0.9663265876486682,9427,215.96376589988358,0.6899871826171875,age_cat,,4095,10,100,"{""age_cat"": 20}"
DUAL-A,3,0.9666433387993287,9049,207.79351059999317,0.706512451171875,age_cat,,4095,10,100,"{""age_cat"": 20}"
DUAL-C,1,0.9656131572059115,8449,195.68114989995956,0.7105026245117188,age_cat,,4095,10,100,"{""age_cat"": 20}"
DUAL-C,2,0.9663265876486682,9427,216.77097970014438,0.7053108215332031,age_cat,,4095,10,100,"{""age_cat"": 20}"
DUAL-C,3,0.9666433387993287,9049,208.81594250001945,0.7042808532714844,age_cat,,4095,10,100,"{""age_cat"": 20}"
