rule_type,rule,feature_a,operator_a,threshold_a,feature_b,operator_b,threshold_b,rows,coverage,target_rate,positive_rate,negative_rate,precision_positive,precision_negative,positive_lift,negative_lift
pair,social_media_hours > 1.91 AND weekend_screen_time > 7.78,social_media_hours,>,1.91,weekend_screen_time,>,7.78,12662,0.08188367370694673,0.7507502764176276,0.7507502764176276,0.2492497235823724,0.7507502764176276,0.2492497235823724,2.3079365866198174,0.369417938297917
pair,social_media_hours > 1.91 AND weekend_screen_time > 6.58,social_media_hours,>,1.91,weekend_screen_time,>,6.58,21653,0.14002741958430875,0.6948690712603335,0.6948690712603335,0.3051309287396665,0.6948690712603335,0.3051309287396665,2.136148067936431,0.4522405761813577
pair,social_media_hours > 1.91 AND weekend_screen_time > 5.41,social_media_hours,>,1.91,weekend_screen_time,>,5.41,28556,0.18466831356622734,0.6715226222159967,0.6715226222159967,0.3284773777840033,0.6715226222159967,0.3284773777840033,2.0643770335330993,0.4868428094299174
pair,social_media_hours > 1.91 AND work_study_hours <= 1.99,social_media_hours,>,1.91,work_study_hours,<=,1.99,29921,0.19349560898638074,0.6620768022459143,0.6620768022459143,0.33792319775408575,0.6620768022459143,0.33792319775408575,2.0353389443250576,0.5008426457736794
pair,social_media_hours > 1.91 AND work_study_hours > 1.45,social_media_hours,>,1.91,work_study_hours,>,1.45,14442,0.09339472561015041,0.661404237640216,0.661404237640216,0.33859576235978395,0.661404237640216,0.33859576235978395,2.033271364053541,0.5018394670597303
pair,social_media_hours > 1.91 AND work_study_hours > 0.95,social_media_hours,>,1.91,work_study_hours,>,0.95,24155,0.1562075610797108,0.6588697992134134,0.6588697992134134,0.3411302007865866,0.6588697992134134,0.3411302007865866,2.0254800606661294,0.5055958083102474
pair,social_media_hours > 1.91 AND daily_screen_time_hours > 5.32,social_media_hours,>,1.91,daily_screen_time_hours,>,5.32,17905,0.11578954175666413,0.6550684166433957,0.6550684166433957,0.34493158335660434,0.6550684166433957,0.34493158335660434,2.0137939511984824,0.511229912499067
pair,social_media_hours > 1.91 AND daily_screen_time_hours > 4.5,social_media_hours,>,1.91,daily_screen_time_hours,>,4.5,30780,0.19905066156214027,0.6534762833008447,0.6534762833008447,0.34652371669915527,0.6534762833008447,0.34652371669915527,2.008899457107072,0.5135896447725761
pair,social_media_hours > 1.91 AND daily_screen_time_hours > 3.67,social_media_hours,>,1.91,daily_screen_time_hours,>,3.67,37264,0.24098193152864184,0.652721124946329,0.652721124946329,0.34727887505367105,0.652721124946329,0.34727887505367105,2.006577969323684,0.5147088798850735
pair,social_media_hours > 1.91 AND daily_screen_time_hours <= 5.32,social_media_hours,>,1.91,daily_screen_time_hours,<=,5.32,20500,0.1325711033795931,0.6501951219512195,0.6501951219512195,0.34980487804878047,0.6501951219512195,0.34980487804878047,1.9988125979166396,0.5184527188156683
pair,social_media_hours > 1.91 AND work_study_hours <= 1.45,social_media_hours,>,1.91,work_study_hours,<=,1.45,21356,0.13810675530607758,0.6486701629518636,0.6486701629518636,0.35132983704813636,0.6486701629518636,0.35132983704813636,1.9941246094093257,0.5207128906683554
