feature,source_script,new_module,rows_checked,max_abs_diff,nan_match,status
screen_gt_8,train_xgboost_exp012_threshold_features.py,src.features.thresholds,4096,0.0,True,PASS
screen_le_6,train_xgboost_exp012_threshold_features.py,src.features.thresholds,4096,0.0,True,PASS
social_gt_4,train_xgboost_exp012_threshold_features.py,src.features.thresholds,4096,0.0,True,PASS
social_le_4,train_xgboost_exp012_threshold_features.py,src.features.thresholds,4096,0.0,True,PASS
clear_positive_zone,train_xgboost_exp012_threshold_features.py,src.features.thresholds,4096,0.0,True,PASS
clear_negative_zone,train_xgboost_exp012_threshold_features.py,src.features.thresholds,4096,0.0,True,PASS
ambiguous_zone,train_xgboost_exp012_threshold_features.py,src.features.thresholds,4096,0.0,True,PASS
screen_dist_to_6,train_xgboost_exp012_threshold_features.py,src.features.thresholds,4096,0.0,True,PASS
screen_dist_to_8,train_xgboost_exp012_threshold_features.py,src.features.thresholds,4096,0.0,True,PASS
social_dist_to_4,train_xgboost_exp012_threshold_features.py,src.features.thresholds,4096,0.0,True,PASS
screen_abs_dist_to_6,train_xgboost_exp012_threshold_features.py,src.features.thresholds,4096,0.0,True,PASS
screen_abs_dist_to_8,train_xgboost_exp012_threshold_features.py,src.features.thresholds,4096,0.0,True,PASS
social_abs_dist_to_4,train_xgboost_exp012_threshold_features.py,src.features.thresholds,4096,0.0,True,PASS
screen_x_social,train_xgboost_exp012_threshold_features.py,src.features.thresholds,4096,0.0,True,PASS
screen_plus_social,train_xgboost_exp012_threshold_features.py,src.features.thresholds,4096,0.0,True,PASS
screen_minus_social,train_xgboost_exp012_threshold_features.py,src.features.thresholds,4096,0.0,True,PASS
screen_over_social,train_xgboost_exp012_threshold_features.py,src.features.thresholds,4096,0.0,True,PASS
social_over_screen,train_xgboost_exp012_threshold_features.py,src.features.thresholds,4096,0.0,True,PASS
min_abs_threshold_distance,train_xgboost_exp012_threshold_features.py,src.features.thresholds,4096,0.0,True,PASS
screen_mid_band,train_xgboost_exp012_threshold_features.py,src.features.thresholds,4096,0.0,True,PASS
social_near_threshold,train_xgboost_exp012_threshold_features.py,src.features.thresholds,4096,0.0,True,PASS
screen_near_threshold,train_xgboost_exp012_threshold_features.py,src.features.thresholds,4096,0.0,True,PASS
region_code,train_xgboost_exp012_threshold_features.py,src.features.thresholds,4096,0.0,True,PASS
social_over_screen,train_exp039_high_bin_lgbm.py,src.features.relational,4096,0.0,True,PASS
gaming_over_screen,train_exp039_high_bin_lgbm.py,src.features.relational,4096,0.0,True,PASS
work_over_screen,train_exp039_high_bin_lgbm.py,src.features.relational,4096,0.0,True,PASS
work_over_social,train_exp039_high_bin_lgbm.py,src.features.relational,4096,0.0,True,PASS
gaming_over_social,train_exp039_high_bin_lgbm.py,src.features.relational,4096,0.0,True,PASS
screen_minus_social,train_exp039_high_bin_lgbm.py,src.features.relational,4096,0.0,True,PASS
screen_freq,train_exp039_high_bin_lgbm.py,src.features.frequency,4096,0.0,True,PASS
weekend_freq,train_exp039_high_bin_lgbm.py,src.features.frequency,4096,0.0,True,PASS
