order,experiment_id,date_if_known,model,oof_auc,public_lb,source_confidence
1,EXP-001,2026-08-22T01:49:46-03:00,Logistic baseline,0.911452,0.91355,EXACT
2,EXP-002,2026-08-22T02:15:24-03:00,CatBoost baseline,0.958956,0.95996,EXACT
3,EXP-003,2026-08-22T10:04:01-03:00,CatBoost 4000,0.963593,0.96497,EXACT
4,EXP-005,2026-08-22T12:25:21-03:00,Linear blend,0.96407743,0.96536,EXACT
5,EXP-008,2026-08-22T16:05:16-03:00,XGBoost baseline,0.964358,0.96587,EXACT
6,EXP-009,2026-08-22T19:42:18-03:00,Rank ensemble,0.96474203,0.96601,EXACT
7,EXP-012,2026-08-22T22:02:30-03:00,XGBoost thresholds,0.96523300,0.96696,EXACT
8,EXP-015,2026-08-23T08:42:14-03:00,XGBoost depth refinement,0.96560512,0.96710,EXACT
9,EXP-016,2026-08-23T13:30:25-03:00,XGBoost refined,0.96570217,0.96730,EXACT
10,EXP-021,2026-08-24T09:41:59-03:00,Rank ensemble,0.9658597975,0.96733,EXACT
11,EXP-027,2026-08-25T14:54:20-03:00,Seed ensemble,0.9659191881,,EXACT
12,EXP-035,2026-08-26T12:35:25,Exact-value Logistic blend,0.9668097849,0.96815,REPORTED
13,EXP-036,2026-08-26T15:20:31,Relational ratio blend,0.9670368278,0.96838,REPORTED
14,EXP-037,2026-08-27T01:00:19,Relational Logistic blend,0.9670683293,0.96842,REPORTED
15,EXP-039,2026-08-29T03:51:53,Final high-resolution blend,0.9674680608,0.96876,REPORTED
