feature,source_script,new_module,rows_checked,max_abs_diff,nan_match,status
screen_gt_8,src/train_xgboost_exp012_threshold_features.py,src/features/thresholds.py,10000,0.0,True,PASS
screen_le_6,src/train_xgboost_exp012_threshold_features.py,src/features/thresholds.py,10000,0.0,True,PASS
social_gt_4,src/train_xgboost_exp012_threshold_features.py,src/features/thresholds.py,10000,0.0,True,PASS
social_le_4,src/train_xgboost_exp012_threshold_features.py,src/features/thresholds.py,10000,0.0,True,PASS
clear_positive_zone,src/train_xgboost_exp012_threshold_features.py,src/features/thresholds.py,10000,0.0,True,PASS
clear_negative_zone,src/train_xgboost_exp012_threshold_features.py,src/features/thresholds.py,10000,0.0,True,PASS
ambiguous_zone,src/train_xgboost_exp012_threshold_features.py,src/features/thresholds.py,10000,0.0,True,PASS
screen_dist_to_6,src/train_xgboost_exp012_threshold_features.py,src/features/thresholds.py,10000,0.0,True,PASS
screen_dist_to_8,src/train_xgboost_exp012_threshold_features.py,src/features/thresholds.py,10000,0.0,True,PASS
social_dist_to_4,src/train_xgboost_exp012_threshold_features.py,src/features/thresholds.py,10000,0.0,True,PASS
screen_abs_dist_to_6,src/train_xgboost_exp012_threshold_features.py,src/features/thresholds.py,10000,0.0,True,PASS
screen_abs_dist_to_8,src/train_xgboost_exp012_threshold_features.py,src/features/thresholds.py,10000,0.0,True,PASS
social_abs_dist_to_4,src/train_xgboost_exp012_threshold_features.py,src/features/thresholds.py,10000,0.0,True,PASS
screen_x_social,src/train_xgboost_exp012_threshold_features.py,src/features/thresholds.py,10000,0.0,True,PASS
screen_plus_social,src/train_xgboost_exp012_threshold_features.py,src/features/thresholds.py,10000,0.0,True,PASS
screen_minus_social,src/train_xgboost_exp012_threshold_features.py,src/features/thresholds.py,10000,0.0,True,PASS
screen_over_social,src/train_xgboost_exp012_threshold_features.py,src/features/thresholds.py,10000,0.0,True,PASS
social_over_screen,src/train_xgboost_exp012_threshold_features.py,src/features/thresholds.py,10000,0.0,True,PASS
min_abs_threshold_distance,src/train_xgboost_exp012_threshold_features.py,src/features/thresholds.py,10000,0.0,True,PASS
screen_mid_band,src/train_xgboost_exp012_threshold_features.py,src/features/thresholds.py,10000,0.0,True,PASS
social_near_threshold,src/train_xgboost_exp012_threshold_features.py,src/features/thresholds.py,10000,0.0,True,PASS
screen_near_threshold,src/train_xgboost_exp012_threshold_features.py,src/features/thresholds.py,10000,0.0,True,PASS
region_code,src/train_xgboost_exp012_threshold_features.py,src/features/thresholds.py,10000,0.0,True,PASS
screen_gt_8,src/train_xgboost_exp016_depth5_9000.py,src/features/thresholds.py,10000,0.0,True,PASS
screen_le_6,src/train_xgboost_exp016_depth5_9000.py,src/features/thresholds.py,10000,0.0,True,PASS
social_gt_4,src/train_xgboost_exp016_depth5_9000.py,src/features/thresholds.py,10000,0.0,True,PASS
social_le_4,src/train_xgboost_exp016_depth5_9000.py,src/features/thresholds.py,10000,0.0,True,PASS
clear_positive_zone,src/train_xgboost_exp016_depth5_9000.py,src/features/thresholds.py,10000,0.0,True,PASS
clear_negative_zone,src/train_xgboost_exp016_depth5_9000.py,src/features/thresholds.py,10000,0.0,True,PASS
ambiguous_zone,src/train_xgboost_exp016_depth5_9000.py,src/features/thresholds.py,10000,0.0,True,PASS
screen_dist_to_6,src/train_xgboost_exp016_depth5_9000.py,src/features/thresholds.py,10000,0.0,True,PASS
screen_dist_to_8,src/train_xgboost_exp016_depth5_9000.py,src/features/thresholds.py,10000,0.0,True,PASS
social_dist_to_4,src/train_xgboost_exp016_depth5_9000.py,src/features/thresholds.py,10000,0.0,True,PASS
screen_abs_dist_to_6,src/train_xgboost_exp016_depth5_9000.py,src/features/thresholds.py,10000,0.0,True,PASS
screen_abs_dist_to_8,src/train_xgboost_exp016_depth5_9000.py,src/features/thresholds.py,10000,0.0,True,PASS
social_abs_dist_to_4,src/train_xgboost_exp016_depth5_9000.py,src/features/thresholds.py,10000,0.0,True,PASS
screen_x_social,src/train_xgboost_exp016_depth5_9000.py,src/features/thresholds.py,10000,0.0,True,PASS
screen_plus_social,src/train_xgboost_exp016_depth5_9000.py,src/features/thresholds.py,10000,0.0,True,PASS
screen_minus_social,src/train_xgboost_exp016_depth5_9000.py,src/features/thresholds.py,10000,0.0,True,PASS
screen_over_social,src/train_xgboost_exp016_depth5_9000.py,src/features/thresholds.py,10000,0.0,True,PASS
social_over_screen,src/train_xgboost_exp016_depth5_9000.py,src/features/thresholds.py,10000,0.0,True,PASS
min_abs_threshold_distance,src/train_xgboost_exp016_depth5_9000.py,src/features/thresholds.py,10000,0.0,True,PASS
screen_mid_band,src/train_xgboost_exp016_depth5_9000.py,src/features/thresholds.py,10000,0.0,True,PASS
social_near_threshold,src/train_xgboost_exp016_depth5_9000.py,src/features/thresholds.py,10000,0.0,True,PASS
screen_near_threshold,src/train_xgboost_exp016_depth5_9000.py,src/features/thresholds.py,10000,0.0,True,PASS
region_code,src/train_xgboost_exp016_depth5_9000.py,src/features/thresholds.py,10000,0.0,True,PASS
