config_id,max_depth,min_child_weight,learning_rate,n_estimators,subsample,colsample_bytree,reg_alpha,reg_lambda,gamma,fold1_auc,delta_vs_baseline,best_iteration,training_seconds
BASELINE,7,1,0.03,6000,0.9,0.9,0.0,1.0,0.0,0.964601434220276,0.0,3852,298.0169213999761
A1_depth5,5,1,0.03,6000,0.9,0.9,0.0,1.0,0.0,0.9649342061140153,0.00033277189373925875,5997,386.8084464999847
A2_depth6,6,1,0.03,6000,0.9,0.9,0.0,1.0,0.0,0.9648238724703536,0.00022243825007761675,5799,411.319296300062
A3_depth8,8,1,0.03,6000,0.9,0.9,0.0,1.0,0.0,0.9642886512440397,-0.00031278297623626994,2828,240.73729980003554
A4_depth9,9,1,0.03,6000,0.9,0.9,0.0,1.0,0.0,0.9639622296979768,-0.0006392045222991527,2032,194.5199177999748
B1_child3,7,3,0.03,6000,0.9,0.9,0.0,1.0,0.0,0.964664250497526,6.281627725002181e-05,3790,290.70617220003624
B2_child5,7,5,0.03,6000,0.9,0.9,0.0,1.0,0.0,0.9647207779541006,0.00011934373382460617,3667,280.3443877999671
B3_child10,7,10,0.03,6000,0.9,0.9,0.0,1.0,0.0,0.9647105416371478,0.00010910741687175651,4124,312.8261736999266
C1_lambda2,7,1,0.03,6000,0.9,0.9,0.0,2.0,0.0,0.9645776506725502,-2.3783547725808596e-05,2982,235.17433609999716
C2_lambda5,7,1,0.03,6000,0.9,0.9,0.0,5.0,0.0,0.964700423553525,9.898933324903325e-05,4057,314.0350348999491
C3_lambda10,7,1,0.03,6000,0.9,0.9,0.0,10.0,0.0,0.964770004502546,0.0001685702822700197,4193,324.2239570999518
D1_alpha0.1,7,1,0.03,6000,0.9,0.9,0.1,1.0,0.0,0.9646167399815435,1.5305761267514484e-05,3665,284.3543823999353
D2_alpha0.5,7,1,0.03,6000,0.9,0.9,0.5,1.0,0.0,0.9646347351704898,3.330095021381041e-05,3737,291.5840181999374
D3_alpha1.0,7,1,0.03,6000,0.9,0.9,1.0,1.0,0.0,0.9646264919477945,2.5057727518484896e-05,3348,265.26121329993475
E1_gamma0.05,7,1,0.03,6000,0.9,0.9,0.0,1.0,0.05,0.9646090007728184,7.566552542415117e-06,3588,278.20787249994464
E2_gamma0.1,7,1,0.03,6000,0.9,0.9,0.0,1.0,0.1,0.9645504679165859,-5.096630369005872e-05,2990,234.75854459998664
E3_gamma0.25,7,1,0.03,6000,0.9,0.9,0.0,1.0,0.25,0.9645686471790964,-3.2787041179593857e-05,3286,266.66260660008993
F1_sub0.8_col0.9,7,1,0.03,6000,0.8,0.9,0.0,1.0,0.0,0.9645101041740803,-9.133004619565899e-05,3351,267.58377030002885
F2_sub1.0_col0.9,7,1,0.03,6000,1.0,0.9,0.0,1.0,0.0,0.9643438603736124,-0.0002575738466635835,4279,301.4295051000081
F3_sub0.9_col0.8,7,1,0.03,6000,0.9,0.8,0.0,1.0,0.0,0.96462332057975,2.18863594739771e-05,3716,286.9259018000448
F4_sub0.9_col1.0,7,1,0.03,6000,0.9,1.0,0.0,1.0,0.0,0.9645967879802413,-4.646240034711369e-06,3480,270.5573900999734
F5_sub0.8_col0.8,7,1,0.03,6000,0.8,0.8,0.0,1.0,0.0,0.9646251455847779,2.371136450185496e-05,3769,296.445809799945
G1_lr0.02,7,1,0.02,8000,0.9,0.9,0.0,1.0,0.0,0.9647191280155917,0.00011769379531567647,5396,417.35135689994786
G2_lr0.04,7,1,0.04,5000,0.9,0.9,0.0,1.0,0.0,0.9645265183093871,-7.491591088892857e-05,2773,231.11605850001797
G3_lr0.05,7,1,0.05,4000,0.9,0.9,0.0,1.0,0.0,0.9644933401594561,-0.00010809406081990769,2164,175.28494889999274
